experiment_id,metric,count,mean,std,cv_percent,min,q1,median,q3,p95,max,sum
20260723_195753,model_load_seconds,36,4.965596000000001,2.7023319733233995e-15,5.4421100172535165e-14,4.965596,4.965596,4.965596,4.965596,4.965596,4.965596,178.761456
20260723_195753,inference_seconds,36,6.084918972222223,1.0096000620109356,16.591840690398346,5.459768,5.77149675,5.8599345,5.97588225,6.677553,11.427395,219.057083
20260723_195753,image_save_seconds,36,0.17229083333333334,0.10860515172034887,63.03594313124544,0.096625,0.10776825,0.12396599999999999,0.19957724999999998,0.3531495,0.559644,6.20247
20260723_195753,generation_total_seconds,36,6.257214694444445,1.0990776077970317,17.56496558721028,5.558074,5.89127825,6.0376615000000005,6.17449075,7.0024525,11.973802,225.25972900000002
20260723_195753,execution_time_seconds,36,6.257214694444445,1.0990776077970317,17.56496558721028,5.558074,5.89127825,6.0376615000000005,6.17449075,7.0024525,11.973802,225.25972900000002
20260723_195753,monitoring_duration_seconds,36,6.269564583333333,1.1167373183743634,17.812039473092543,5.566338,5.90238,6.052970500000001,6.1802175,7.00941825,12.099501,225.70432499999998
20260723_195753,gpu_energy_j,36,170.6246944444445,11.358044277878735,6.656741168012418,160.457,165.82125,168.375,171.38049999999998,180.9115,226.088,6142.489000000001
20260723_195753,gpu_energy_wh,36,0.04739574844444444,0.0031550122730840797,6.656741114199873,0.044571389,0.0460614585,0.046770833,0.047605694500000004,0.05025319475,0.062802222,1.7062469439999999
20260723_195753,joules_per_image,36,170.6246944444445,11.358044277878735,6.656741168012418,160.457,165.82125,168.375,171.38049999999998,180.9115,226.088,6142.489000000001
20260723_195753,wh_per_image,36,0.04739574844444444,0.0031550122730840797,6.656741114199873,0.044571389,0.0460614585,0.046770833,0.047605694500000004,0.05025319475,0.062802222,1.7062469439999999
20260723_195753,gpu_power_mean_w,36,25.783199083333336,1.7975057007192952,6.971616264178912,18.137807,25.7613435,26.168068499999997,26.549600249999997,27.036151750000002,27.2467,928.1951670000001
20260723_195753,gpu_power_max_w,36,35.1128611111111,0.14720115542593484,0.419222902286805,34.941,35.0045,35.072500000000005,35.195,35.4055,35.456,1264.0629999999996
20260723_195753,gpu_utilization_mean_percent,36,71.91487355555556,7.14787463455089,9.939355075176522,38.807018,70.014617,73.452621,75.74166675000001,77.34247325,80.310345,2588.935448
20260723_195753,gpu_utilization_max_percent,36,99.69444444444444,0.5247826458609559,0.5263910629978938,98.0,99.0,100.0,100.0,100.0,100.0,3589.0
20260723_195753,gpu_temperature_start_c,36,61.19444444444444,2.4821585588175297,4.056182846910171,55.0,59.75,62.0,63.0,64.0,66.0,2203.0
20260723_195753,gpu_temperature_max_c,36,65.47222222222223,1.859125925360948,2.8395644171826104,61.0,64.0,66.0,67.0,68.0,68.0,2357.0
20260723_195753,gpu_temperature_end_c,36,63.22222222222222,2.5647178748895127,4.056671506855117,57.0,62.0,63.5,65.0,67.0,68.0,2276.0
20260723_195753,gpu_power_limit_w,36,35.0,0.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,1260.0
20260723_195753,torch_peak_allocated_vram_mb,36,2689.6689449999994,9.223959802277204e-13,3.429403391604838e-14,2689.668945,2689.668945,2689.668945,2689.668945,2689.668945,2689.668945,96828.08201999999
20260723_195753,torch_peak_reserved_vram_mb,36,2864.0,0.0,0.0,2864.0,2864.0,2864.0,2864.0,2864.0,2864.0,103104.0
20260723_195753,nvml_peak_used_vram_mb,36,3220.6171880000006,2.305989950569301e-12,7.160087076357305e-14,3220.617188,3220.617188,3220.617188,3220.617188,3220.617188,3220.617188,115942.21876800002
20260723_195753,peak_vram_mb,36,2689.6689449999994,9.223959802277204e-13,3.429403391604838e-14,2689.668945,2689.668945,2689.668945,2689.668945,2689.668945,2689.668945,96828.08201999999
20260723_195753,process_cpu_mean_percent,36,104.14628530555554,3.7834649127931907,3.632837121067598,93.397727,101.95078125,103.721013,105.46532275,111.0734375,113.377419,3749.2662709999995
20260723_195753,process_cpu_max_percent,36,366.3222222222222,97.64108359880694,26.654425441756274,256.0,309.375,348.7,405.575,501.025,790.0,13187.599999999999
20260723_195753,process_cpu_user_seconds,36,5.120555555555555,0.38494485278094015,7.517638439901186,4.53,4.8125,5.085,5.2525,5.7625,6.42,184.33999999999997
20260723_195753,process_cpu_system_seconds,36,1.433888888888889,0.661821200617887,46.1556823367763,1.1,1.2375,1.31,1.36,1.705,5.14,51.620000000000005
20260723_195753,process_rss_start_mb,36,6654.682508638889,968.4513958192207,14.552931632155389,1076.355469,6798.9423827499995,6842.794922,6864.74121075,6913.9677735000005,6918.785156,239568.570311
20260723_195753,process_rss_peak_mb,36,6831.799587805555,158.4942726262512,2.319949093781324,5941.195312,6814.975586250001,6857.369141,6884.016602,6918.85937525,6941.324219,245944.785161
20260723_195753,process_rss_end_mb,36,6809.629448777778,178.33150599719008,2.6188136570220837,5804.277344,6801.24707075,6842.671875,6864.7392577499995,6913.9658205,6918.773438,245146.660156
20260723_195753,system_ram_used_start_mb,36,6788.63661025,1000.0106112813578,14.730654602596724,1062.894531,6915.79882825,6986.0214845,7049.385742500001,7084.1806645,7087.71875,244390.917969
20260723_195753,system_ram_used_peak_mb,36,6971.4248047500005,201.35138734668118,2.888238674101309,5862.09375,6950.0166014999995,7009.0546875,7062.01953125,7085.1230465,7087.933594,250971.29297100002
20260723_195753,system_ram_used_end_mb,36,6951.127495666667,209.00802876193598,3.006821970856262,5804.601562,6924.4804685,6987.828125,7049.2968755,7084.016602,7087.71875,250240.589844
20260723_195753,images_per_hour,36,585.5652599166666,60.990313191975005,10.415630394578857,300.656384,583.04872175,596.2573425,611.072832,623.242116,647.706381,21080.349357
