experiment_id,model_name,quantization,seed,width,height,num_inference_steps,guidance_scale,generation_total_seconds_count,generation_total_seconds_mean,generation_total_seconds_std,generation_total_seconds_median,generation_total_seconds_min,generation_total_seconds_max,inference_seconds_count,inference_seconds_mean,inference_seconds_std,inference_seconds_median,inference_seconds_min,inference_seconds_max,image_save_seconds_count,image_save_seconds_mean,image_save_seconds_std,image_save_seconds_median,image_save_seconds_min,image_save_seconds_max,gpu_energy_j_count,gpu_energy_j_mean,gpu_energy_j_std,gpu_energy_j_median,gpu_energy_j_min,gpu_energy_j_max,gpu_energy_wh_count,gpu_energy_wh_mean,gpu_energy_wh_std,gpu_energy_wh_median,gpu_energy_wh_min,gpu_energy_wh_max,gpu_power_mean_w_count,gpu_power_mean_w_mean,gpu_power_mean_w_std,gpu_power_mean_w_median,gpu_power_mean_w_min,gpu_power_mean_w_max,gpu_power_max_w_count,gpu_power_max_w_mean,gpu_power_max_w_std,gpu_power_max_w_median,gpu_power_max_w_min,gpu_power_max_w_max,gpu_utilization_mean_percent_count,gpu_utilization_mean_percent_mean,gpu_utilization_mean_percent_std,gpu_utilization_mean_percent_median,gpu_utilization_mean_percent_min,gpu_utilization_mean_percent_max,gpu_utilization_max_percent_count,gpu_utilization_max_percent_mean,gpu_utilization_max_percent_std,gpu_utilization_max_percent_median,gpu_utilization_max_percent_min,gpu_utilization_max_percent_max,gpu_temperature_max_c_count,gpu_temperature_max_c_mean,gpu_temperature_max_c_std,gpu_temperature_max_c_median,gpu_temperature_max_c_min,gpu_temperature_max_c_max,torch_peak_allocated_vram_mb_count,torch_peak_allocated_vram_mb_mean,torch_peak_allocated_vram_mb_std,torch_peak_allocated_vram_mb_median,torch_peak_allocated_vram_mb_min,torch_peak_allocated_vram_mb_max,torch_peak_reserved_vram_mb_count,torch_peak_reserved_vram_mb_mean,torch_peak_reserved_vram_mb_std,torch_peak_reserved_vram_mb_median,torch_peak_reserved_vram_mb_min,torch_peak_reserved_vram_mb_max,nvml_peak_used_vram_mb_count,nvml_peak_used_vram_mb_mean,nvml_peak_used_vram_mb_std,nvml_peak_used_vram_mb_median,nvml_peak_used_vram_mb_min,nvml_peak_used_vram_mb_max,process_cpu_mean_percent_count,process_cpu_mean_percent_mean,process_cpu_mean_percent_std,process_cpu_mean_percent_median,process_cpu_mean_percent_min,process_cpu_mean_percent_max,process_cpu_max_percent_count,process_cpu_max_percent_mean,process_cpu_max_percent_std,process_cpu_max_percent_median,process_cpu_max_percent_min,process_cpu_max_percent_max,process_rss_peak_mb_count,process_rss_peak_mb_mean,process_rss_peak_mb_std,process_rss_peak_mb_median,process_rss_peak_mb_min,process_rss_peak_mb_max,system_ram_used_peak_mb_count,system_ram_used_peak_mb_mean,system_ram_used_peak_mb_std,system_ram_used_peak_mb_median,system_ram_used_peak_mb_min,system_ram_used_peak_mb_max,images_per_hour_count,images_per_hour_mean,images_per_hour_std,images_per_hour_median,images_per_hour_min,images_per_hour_max
20260723_195753,ssd-1b,none,42,512,512,20,7.5,6,6.941000833333334,2.468989430296485,5.9807835,5.794809,11.973802,6,6.7518806666666675,2.2934070409975353,5.861122999999999,5.698181,11.427395,6,0.18911600000000003,0.1764676499622523,0.111777,0.096625,0.546402,6,178.38216666666668,23.61808148361477,169.541,164.675,226.088,6,0.04955060183333334,0.00656057806255475,0.047094722000000006,0.045743056,0.062802222,6,24.955101,3.3492353312438965,26.356242,18.137807,26.537467,6,35.0615,0.1380155788308003,35.0225,34.941,35.334,6,67.57948516666666,14.28715386278859,73.0645165,38.807018,75.633333,6,100.0,0.0,100.0,100.0,100.0,6,65.16666666666667,1.9407902170679538,65.5,62.0,67.0,6,2689.668945,0.0,2689.668945,2689.668945,2689.668945,6,2864.0,0.0,2864.0,2864.0,2864.0,6,3220.617188,0.0,3220.617188,3220.617188,3220.617188,6,102.552907,1.5870508954700862,102.3446775,100.812281,104.39,6,405.76666666666665,192.1876131977986,348.7,262.1,790.0,6,6702.677083166666,375.451036961535,6854.720703,5941.195312,6918.855469,6,6809.576171833333,467.86107793979374,6953.1972655,5862.09375,7087.933594,6,555.8748286666666,125.72949230835466,602.0602134999999,300.656384,621.245676
20260723_195753,ssd-1b,none,43,512,512,20,7.5,6,6.510702500000001,1.1274232732935308,6.0846065,5.888828,8.791798,6,6.279532833333334,0.9633670238444779,5.887018,5.778952,8.232135,6,0.23116316666666667,0.17668698356632462,0.16114599999999998,0.106437,0.559644,6,173.8178333333333,12.440814883546278,169.1885,166.535,198.76,6,0.04828273133333333,0.0034557819513195394,0.0469968055,0.046259722,0.055211111,6,25.1330525,2.7241207784009687,26.023536999999997,19.634727,26.7714,6,35.1215,0.1733467623003069,35.0445,34.991,35.428,6,69.69592,7.895916567681114,70.921875,54.590909,76.066667,6,99.33333333333333,0.5163977794943232,99.0,99.0,100.0,6,65.0,2.280350850198277,65.5,61.0,67.0,6,2689.668945,0.0,2689.668945,2689.668945,2689.668945,6,2864.0,0.0,2864.0,2864.0,2864.0,6,3220.617188,0.0,3220.617188,3220.617188,3220.617188,6,102.84920333333334,4.765795806477008,104.47833299999999,93.397727,106.434375,6,357.15000000000003,59.35933793431323,332.5,302.1,440.2,6,6880.971354333334,38.94377492822369,6890.058594,6815.417969,6918.871094,6,7012.751302166667,49.24483769129288,7001.619141,6949.636719,7087.71875,6,564.0439146666666,77.1012914797989,591.6797455000001,409.47256,611.327088
20260723_195753,ssd-1b,none,44,512,512,20,7.5,6,6.070592666666666,0.20837403705228397,6.030034000000001,5.833221,6.406004,6,5.918170833333334,0.16929578788075844,5.8795515,5.725242,6.131039,6,0.15241683333333333,0.06968232020079891,0.11844750000000001,0.101696,0.27496,6,167.903,3.400768619003648,168.268,163.51,172.64,6,0.04663972216666667,0.000944658080425805,0.046741111,0.045419444,0.047955556,6,25.968311166666666,0.8353271059307037,26.096435,24.601455,26.9878,6,35.13783333333333,0.19210353111451878,35.058,34.968,35.456,6,73.433718,3.304218118774002,74.3397175,67.212121,76.033333,6,99.5,0.836660026534076,100.0,98.0,100.0,6,65.33333333333333,2.1602468994692883,65.5,62.0,68.0,6,2689.668945,0.0,2689.668945,2689.668945,2689.668945,6,2864.0,0.0,2864.0,2864.0,2864.0,6,3220.617188,0.0,3220.617188,3220.617188,3220.617188,6,106.10559549999999,4.986089575944412,106.73684499999999,99.780645,113.377419,6,382.51666666666665,56.76447539321285,367.0,327.4,465.3,6,6882.9889325,28.806822979273644,6884.746094,6846.652344,6914.050781,6,7024.605468833334,65.7163112637766,7037.826172,6916.949219,7083.984375,6,593.5960896666667,20.048900005316124,597.0124745,561.972816,617.154766
20260723_195753,ssd-1b,none,45,512,512,20,7.5,6,6.030251333333333,0.09757366438884349,6.0140785,5.912048,6.164329,6,5.8506845,0.08416609107413726,5.842438,5.73542,5.948272,6,0.17956233333333335,0.05656469644810858,0.1918335,0.106868,0.246005,6,167.071,3.7883512508741926,166.5935,163.143,173.125,6,0.04640861116666667,0.0010523198325076688,0.046275972,0.0453175,0.048090278,6,26.136165833333333,0.6456620395558071,26.147989000000003,25.130903,26.973677,6,35.0935,0.15808447109061546,35.042,34.979,35.398,6,72.72004933333334,3.200961409251456,73.629032,67.9375,75.866667,6,99.83333333333333,0.4082482904638644,100.0,99.0,100.0,6,65.5,1.8708286933869707,65.5,63.0,68.0,6,2689.668945,0.0,2689.668945,2689.668945,2689.668945,6,2864.0,0.0,2864.0,2864.0,2864.0,6,3220.617188,0.0,3220.617188,3220.617188,3220.617188,6,105.81720433333334,4.560583151708677,105.25967750000001,100.35,112.85,6,362.3,84.44174323165055,355.4,270.7,499.2,6,6850.746744833334,54.48326387010557,6846.6933595,6793.460938,6941.324219,6,7002.672525999999,94.60751048499762,7038.6171875,6882.117188,7084.257812,6,597.1198848333333,9.63122176686048,598.6130714999999,584.005125,608.926013
20260723_195753,ssd-1b,none,46,512,512,20,7.5,6,6.0350220000000006,0.19971825425233455,6.085175,5.791161,6.243506,6,5.885052333333333,0.18242551706454485,5.900902,5.664081,6.132426,6,0.14996516666666668,0.05810089029753904,0.1210805,0.10852,0.253451,6,167.62116666666665,4.194568650846793,166.6585,163.611,174.462,6,0.046561435166666665,0.0011651581078259586,0.0462940275,0.0454475,0.048461667,6,26.088940333333337,0.5510385281915116,26.018649,25.4705,26.724433,6,35.17733333333333,0.11568520504656807,35.149,35.077,35.388,6,73.29844316666667,2.986716432391023,72.79375,69.84375,76.967742,6,99.83333333333333,0.4082482904638627,100.0,99.0,100.0,6,65.83333333333333,1.7224014243685049,66.0,63.0,68.0,6,2689.668945,0.0,2689.668945,2689.668945,2689.668945,6,2864.0,0.0,2864.0,2864.0,2864.0,6,3220.617188,0.0,3220.617188,3220.617188,3220.617188,6,104.61688500000001,3.32706532481705,103.75,101.765625,110.48125,6,349.05,99.40484394635907,330.5,256.0,506.5,6,6841.467448166666,39.29914926362629,6848.1914065,6779.980469,6883.367188,6,6995.222656499999,80.47824424309464,7009.230469,6871.402344,7084.183594,6,597.0687320000001,19.968524004404333,591.660974,576.599152,621.636977
20260723_195753,ssd-1b,none,47,512,512,20,7.5,6,5.955718833333333,0.2930298178994189,5.948249499999999,5.558074,6.309061,6,5.824192666666666,0.2650667361089782,5.8117835,5.459768,6.159359,6,0.13152149999999999,0.03386107302936514,0.12656699999999999,0.098301,0.169487,6,168.953,4.92598834752987,168.79500000000002,160.457,174.962,6,0.046931389,0.0013683301277357032,0.0468875,0.044571389,0.048600556,6,26.417623666666668,0.6669093187873946,26.2419015,25.676813,27.2467,6,35.0855,0.1302409305863575,35.0645,34.979,35.334,6,74.76162566666666,4.130455746639236,74.333871,69.71875,80.310345,6,99.66666666666667,0.5163977794943239,100.0,99.0,100.0,6,66.0,1.788854381999832,66.5,63.0,68.0,6,2689.668945,0.0,2689.668945,2689.668945,2689.668945,6,2864.0,0.0,2864.0,2864.0,2864.0,6,3220.617188,0.0,3220.617188,3220.617188,3220.617188,6,102.93591666666667,1.7874608614892353,103.4258045,99.665625,104.864516,6,341.15000000000003,51.209754930091194,341.2,281.6,404.9,6,6831.945963833333,37.739638902013795,6832.089844,6785.277344,6883.367188,6,6983.720703166667,61.81970879468042,6990.2382815,6890.828125,7054.195312,6,605.6881096666667,29.94678463832561,605.3576855,570.607904,647.706381
