experiment_id,timestamp,prompt_id,task_id,category,task,variant_type,prompt_style,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,model_load_seconds,image_path,execution_time_seconds,inference_seconds,image_save_seconds,generation_total_seconds,monitoring_enabled,monitoring_phase,monitoring_duration_seconds,monitoring_sample_count,gpu_energy_j,gpu_energy_wh,gpu_energy_measurement_method,gpu_power_mean_w,gpu_power_max_w,gpu_utilization_mean_percent,gpu_utilization_max_percent,gpu_temperature_start_c,gpu_temperature_max_c,gpu_temperature_end_c,gpu_power_limit_w,torch_peak_allocated_vram_mb,torch_peak_reserved_vram_mb,nvml_peak_used_vram_mb,process_cpu_mean_percent,process_cpu_max_percent,process_cpu_user_seconds,process_cpu_system_seconds,process_rss_start_mb,process_rss_peak_mb,process_rss_end_mb,system_ram_used_start_mb,system_ram_used_peak_mb,system_ram_used_end_mb,joules_per_image,wh_per_image,images_per_hour,peak_vram_mb,status,error_message,_generation_source_file,generation_order,successful_generation_order
20260723_200841,2026-07-23T20:11:03,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,44,P005_w512_h512_seed44,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P005_w512_h512_seed44.png,4.537277,4.385179,0.152092,4.537277,True,generation,4.545196,24,128.378,0.035660556,nvml_total_energy_counter,25.7345,35.319,68.958333,99.0,61.0,65.0,64.0,35.0,1548.63916,1946.0,2302.617188,103.004167,345.7,3.82,0.99,6439.9375,6440.019531,6439.9375,6520.414062,6521.152344,6520.773438,128.378,0.035660556,793.427348,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,27,27.0
20260723_200841,2026-07-23T20:11:08,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,45,P005_w512_h512_seed45,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P005_w512_h512_seed45.png,4.578477,4.354076,0.224398,4.578477,True,generation,4.588244,24,123.845,0.034401389,nvml_total_energy_counter,25.015,35.189,64.791667,100.0,61.0,65.0,65.0,35.0,1548.63916,1946.0,2302.617188,103.879167,348.9,3.85,0.94,6439.9375,6448.125,6448.042969,6520.773438,6528.542969,6528.535156,123.845,0.034401389,786.287632,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,28,28.0
20260723_200841,2026-07-23T20:11:13,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,46,P005_w512_h512_seed46,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P005_w512_h512_seed46.png,4.589004,4.463657,0.125342,4.589004,True,generation,4.597303,24,128.378,0.035660556,nvml_total_energy_counter,24.712417,34.978,72.375,100.0,61.0,65.0,61.0,35.0,1548.63916,1946.0,2302.617188,107.008333,236.0,3.96,0.98,6448.042969,6461.421875,6461.339844,6528.535156,6538.230469,6536.296875,128.378,0.035660556,784.483874,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,29,29.0
20260723_200841,2026-07-23T20:11:19,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,47,P005_w512_h512_seed47,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P005_w512_h512_seed47.png,4.410318,4.304377,0.105935,4.410318,True,generation,4.420281,23,128.337,0.035649167,nvml_total_energy_counter,25.783174,34.893,69.826087,100.0,61.0,65.0,64.0,35.0,1548.63916,1946.0,2302.617188,104.282609,321.2,3.75,0.93,6461.34375,6461.425781,6461.34375,6535.777344,6535.777344,6533.394531,128.337,0.035649167,816.267685,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,30,30.0
20260723_200841,2026-07-23T20:11:24,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",42,P006_w512_h512_seed42,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P006_w512_h512_seed42.png,4.418529,4.318511,0.100011,4.418529,True,generation,4.431819,23,121.813,0.033836944,nvml_total_energy_counter,25.459348,34.907,71.478261,100.0,61.0,65.0,65.0,35.0,1548.63916,1946.0,2302.617188,103.869565,341.0,3.69,1.02,6461.34375,6461.425781,6420.804688,6533.613281,6533.859375,6493.363281,121.813,0.033836944,814.750805,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,31,31.0
20260723_200841,2026-07-23T20:11:28,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",43,P006_w512_h512_seed43,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P006_w512_h512_seed43.png,4.360224,4.206799,0.153422,4.360224,True,generation,4.367398,23,128.684,0.035745556,nvml_total_energy_counter,25.655783,35.053,68.391304,100.0,61.0,66.0,65.0,35.0,1548.63916,1946.0,2302.617188,99.478261,335.3,3.67,0.95,6420.804688,6473.695312,6352.984375,6493.363281,6546.289062,6439.738281,128.684,0.035745556,825.64558,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,32,32.0
20260723_200841,2026-07-23T20:11:33,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",44,P006_w512_h512_seed44,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P006_w512_h512_seed44.png,4.494939,4.287004,0.207931,4.494939,True,generation,4.49938,24,129.315,0.035920833,nvml_total_energy_counter,25.877917,34.946,65.25,100.0,62.0,66.0,66.0,35.0,1548.63916,1946.0,2302.617188,105.391667,404.1,3.85,1.02,6352.984375,6353.066406,6352.984375,6439.738281,6445.027344,6433.890625,129.315,0.035920833,800.900794,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,33,33.0
20260723_200841,2026-07-23T20:11:38,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",45,P006_w512_h512_seed45,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P006_w512_h512_seed45.png,4.278361,4.172117,0.106242,4.278361,True,generation,4.283433,23,126.521,0.035144722,nvml_total_energy_counter,26.017174,34.991,73.565217,100.0,62.0,66.0,63.0,35.0,1548.63916,1946.0,2302.617188,115.2,408.8,3.83,0.9,6352.988281,6353.070312,6352.988281,6432.664062,6434.144531,6432.382812,126.521,0.035144722,841.443628,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,34,34.0
20260723_200841,2026-07-23T20:11:43,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",46,P006_w512_h512_seed46,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P006_w512_h512_seed46.png,4.391838,4.294921,0.096911,4.391838,True,generation,4.400323,23,120.11,0.033363889,nvml_total_energy_counter,25.360217,35.011,71.0,100.0,62.0,66.0,64.0,35.0,1548.63916,1946.0,2302.617188,112.756522,460.0,3.94,1.0,6352.988281,6386.160156,6386.078125,6431.628906,6461.390625,6460.59375,120.11,0.033363889,819.702279,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,35,35.0
20260723_200841,2026-07-23T20:11:48,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",47,P006_w512_h512_seed47,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.843278,outputs/images/20260723_200841/P006_w512_h512_seed47.png,4.526605,4.371033,0.155567,4.526605,True,generation,4.534694,24,125.893,0.034970278,nvml_total_energy_counter,25.439583,34.999,65.333333,100.0,62.0,66.0,66.0,35.0,1548.63916,1946.0,2302.617188,117.120833,403.2,4.49,1.03,6386.082031,6386.164062,6371.957031,6460.8125,6460.8125,6447.28125,125.893,0.034970278,795.298046,1548.63916,generated,,outputs/logs/20260723_200841_generation_metadata.csv,36,36.0
