experiment_id,metric,count,mean,std,cv_percent,min,q1,median,q3,p95,max,sum
20260723_200841,model_load_seconds,36,8.843278,0.0,0.0,8.843278,8.843278,8.843278,8.843278,8.843278,8.843278,318.358008
20260723_200841,inference_seconds,36,4.374054916666667,0.5892036416237659,13.470421676204742,3.969887,4.15583725,4.2564174999999995,4.3351385,5.1776085,6.803736,157.465977
20260723_200841,image_save_seconds,36,0.1532805833333334,0.0640617927296428,41.793808019591154,0.096279,0.10769925,0.13282549999999999,0.17880175,0.27479875,0.357011,5.5181010000000015
20260723_200841,generation_total_seconds,36,4.527339861111111,0.6274059161319568,13.858158110046931,4.075679,4.271922,4.386979,4.48727025,5.401549999999999,7.160752,162.98423499999998
20260723_200841,execution_time_seconds,36,4.527339861111111,0.6274059161319568,13.858158110046931,4.075679,4.271922,4.386979,4.48727025,5.401549999999999,7.160752,162.98423499999998
20260723_200841,monitoring_duration_seconds,36,4.535823638888889,0.6273849939080767,13.831776626609827,4.081933,4.2779615,4.3963114999999995,4.49761525,5.4077845,7.167216,163.289651
20260723_200841,gpu_energy_j,36,123.7316111111111,6.440904023849789,5.205544457079647,115.528,120.0475,122.0395,127.94149999999999,131.88774999999998,149.287,4454.338
20260723_200841,gpu_energy_wh,36,0.034369891972222226,0.001789140078970925,5.205544668039426,0.032091111,0.033346528,0.033899861,0.0355393055,0.03663548625,0.041468611,1.2373161110000002
20260723_200841,joules_per_image,36,123.7316111111111,6.440904023849789,5.205544457079647,115.528,120.0475,122.0395,127.94149999999999,131.88774999999998,149.287,4454.338
20260723_200841,wh_per_image,36,0.034369891972222226,0.001789140078970925,5.205544668039426,0.032091111,0.033346528,0.033899861,0.0355393055,0.03663548625,0.041468611,1.2373161110000002
20260723_200841,gpu_power_mean_w,36,25.084988194444445,2.007915292996051,8.0044498224669,17.098886,25.13904575,25.5822165,25.877263,26.409909250000002,26.944571,903.059575
20260723_200841,gpu_power_max_w,36,35.072805555555554,0.13481623883630742,0.3843896623061922,34.893,34.9885,35.0345,35.0985,35.36475,35.469,1262.6209999999999
20260723_200841,gpu_utilization_mean_percent,36,69.24698649999999,5.949400888488857,8.591566491473039,44.555556,67.66304325,71.2391305,72.38352275,74.20652175000001,74.318182,2492.891514
20260723_200841,gpu_utilization_max_percent,36,99.91666666666667,0.2803059552906941,0.2805397384060324,99.0,100.0,100.0,100.0,100.0,100.0,3597.0
20260723_200841,gpu_temperature_start_c,36,58.833333333333336,3.009508740167216,5.115312306233228,51.0,57.0,60.0,61.0,62.0,63.0,2118.0
20260723_200841,gpu_temperature_max_c,36,63.19444444444444,2.412105712495614,3.81695849010295,57.0,62.0,64.0,65.0,66.0,66.0,2275.0
20260723_200841,gpu_temperature_end_c,36,61.30555555555556,2.8866138783252047,4.7085681748847925,54.0,59.75,61.0,64.0,65.25,66.0,2207.0
20260723_200841,gpu_power_limit_w,36,35.0,0.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,1260.0
20260723_200841,torch_peak_allocated_vram_mb,36,1548.6391599999997,6.917969851707903e-13,4.4671283216859273e-14,1548.63916,1548.63916,1548.63916,1548.63916,1548.63916,1548.63916,55751.00975999999
20260723_200841,torch_peak_reserved_vram_mb,36,1946.0,0.0,0.0,1946.0,1946.0,1946.0,1946.0,1946.0,1946.0,70056.0
20260723_200841,nvml_peak_used_vram_mb,36,2302.6171880000006,1.8447919604554407e-12,8.01171801404724e-14,2302.617188,2302.617188,2302.617188,2302.617188,2302.617188,2302.617188,82894.21876800002
20260723_200841,peak_vram_mb,36,1548.6391599999997,6.917969851707903e-13,4.4671283216859273e-14,1548.63916,1548.63916,1548.63916,1548.63916,1548.63916,1548.63916,55751.00975999999
20260723_200841,process_cpu_mean_percent,36,107.80078011111111,6.061571333746193,5.622938282541632,94.522222,104.22717424999999,106.51780299999999,110.89041474999999,117.6710595,123.995652,3880.8280839999998
20260723_200841,process_cpu_max_percent,36,368.3555555555556,88.33365786103909,23.98054176970776,236.0,320.02500000000003,347.29999999999995,405.175,490.825,700.8,13260.800000000001
20260723_200841,process_cpu_user_seconds,36,3.890833333333334,0.3158785933144026,8.118533132946736,3.47,3.67,3.8099999999999996,3.9699999999999998,4.49,4.84,140.07000000000002
20260723_200841,process_cpu_system_seconds,36,1.0372222222222223,0.40841583228799055,39.375923841370266,0.73,0.9,0.945,1.02,1.4675,2.68,37.34
20260723_200841,process_rss_start_mb,36,6337.998806500001,397.44163269958324,6.2707748113171435,4165.074219,6384.0654295,6411.7519535,6458.42578125,6475.39843775,6513.371094,228167.95703400002
20260723_200841,process_rss_peak_mb,36,6418.128580527778,129.9232177497137,2.0243162180311103,5700.070312,6397.300781,6454.5,6463.664062,6496.32617175,6513.699219,231052.628899
20260723_200841,process_rss_end_mb,36,6399.717230944444,136.17594022192367,2.1278430797453747,5644.050781,6384.0625,6411.7519535,6458.4130860000005,6475.39355425,6513.054688,230389.82031399998
20260723_200841,system_ram_used_start_mb,36,6400.762912361111,417.4424607797987,6.521761022793651,4154.042969,6464.9550785,6485.8320315,6521.479492500001,6533.40820325,6535.777344,230427.464845
20260723_200841,system_ram_used_peak_mb,36,6482.566297833334,152.28095890025472,2.3490844814213707,5612.464844,6484.67968775,6521.121094,6533.061523750001,6540.07128925,6546.289062,233372.38672200002
20260723_200841,system_ram_used_end_mb,36,6464.7213541111105,160.54823499945402,2.483451740690364,5547.210938,6466.995117,6485.7226565,6521.479492500001,6533.18945325,6536.296875,232729.96874799998
20260723_200841,images_per_hour,36,805.4940735833335,77.3547278480543,9.60338882493981,502.740519,802.2703367500001,820.6112335,842.7176965,864.35797925,883.288465,28997.786649000005
