experiment_id,metric,warmup_count_configured,warmup_observations,steady_state_observations,warmup_mean,steady_state_mean,absolute_difference,warmup_to_steady_ratio,percent_difference_from_steady
20260723_200841,generation_total_seconds,1,1,35,7.160752,4.452099514285713,2.7086524857142864,1.6083989086548658,60.83989086548659
20260723_200841,inference_seconds,1,1,35,6.803736,4.304635457142857,2.4991005428571427,1.5805603210163321,58.056032101633214
20260723_200841,image_save_seconds,1,1,35,0.357011,0.14745971428571428,0.20955128571428575,2.42107481171613,142.10748117161302
20260723_200841,gpu_energy_j,1,1,35,149.287,123.00145714285715,26.285542857142858,1.2137010688142835,21.37010688142835
20260723_200841,gpu_energy_wh,1,1,35,0.041468611,0.034167071428571436,0.007301539571428567,1.2137010655622893,21.370106556228933
20260723_200841,gpu_power_mean_w,1,1,35,17.581389,25.29937674285714,-7.71798774285714,0.6949336807264952,-30.506631927350487
20260723_200841,gpu_power_max_w,1,1,35,35.067,35.07297142857143,-0.00597142857142785,0.999829742724149,-0.017025727585098068
20260723_200841,gpu_utilization_mean_percent,1,1,35,44.555556,69.95245594285713,-25.396899942857125,0.6369405534009644,-36.30594465990355
20260723_200841,gpu_utilization_max_percent,1,1,35,99.0,99.94285714285714,-0.942857142857136,0.9905660377358492,-0.9433962264150876
20260723_200841,gpu_temperature_max_c,1,1,35,57.0,63.371428571428574,-6.371428571428574,0.8994589720468891,-10.054102795311094
20260723_200841,torch_peak_allocated_vram_mb,1,1,35,1548.63916,1548.63916,0.0,1.0,0.0
20260723_200841,torch_peak_reserved_vram_mb,1,1,35,1946.0,1946.0,0.0,1.0,0.0
20260723_200841,nvml_peak_used_vram_mb,1,1,35,2302.617188,2302.6171880000006,-4.547473508864641e-13,0.9999999999999998,-1.9749151237833285e-14
20260723_200841,process_cpu_mean_percent,1,1,35,94.522222,108.18016748571428,-13.65794548571428,0.8737481573272857,-12.625184267271427
20260723_200841,process_cpu_max_percent,1,1,35,372.0,368.25142857142856,3.748571428571438,1.0101793805474522,1.0179380547452077
20260723_200841,process_rss_peak_mb,1,1,35,5700.070312,6438.6445310571435,-738.5742190571436,0.8852904185819559,-11.470958141804408
20260723_200841,system_ram_used_peak_mb,1,1,35,5612.464844,6507.426339371429,-894.961495371429,0.8624707451613082,-13.752925483869186
20260723_200841,images_per_hour,1,1,35,502.740519,814.1441751428572,-311.4036561428572,0.6175079726042191,-38.249202739578095
