experiment_id,model_name,quantization,seed,width,height,num_inference_steps,guidance_scale,generation_total_seconds_count,generation_total_seconds_mean,generation_total_seconds_std,generation_total_seconds_median,generation_total_seconds_min,generation_total_seconds_max,inference_seconds_count,inference_seconds_mean,inference_seconds_std,inference_seconds_median,inference_seconds_min,inference_seconds_max,image_save_seconds_count,image_save_seconds_mean,image_save_seconds_std,image_save_seconds_median,image_save_seconds_min,image_save_seconds_max,gpu_energy_j_count,gpu_energy_j_mean,gpu_energy_j_std,gpu_energy_j_median,gpu_energy_j_min,gpu_energy_j_max,gpu_energy_wh_count,gpu_energy_wh_mean,gpu_energy_wh_std,gpu_energy_wh_median,gpu_energy_wh_min,gpu_energy_wh_max,gpu_power_mean_w_count,gpu_power_mean_w_mean,gpu_power_mean_w_std,gpu_power_mean_w_median,gpu_power_mean_w_min,gpu_power_mean_w_max,gpu_power_max_w_count,gpu_power_max_w_mean,gpu_power_max_w_std,gpu_power_max_w_median,gpu_power_max_w_min,gpu_power_max_w_max,gpu_utilization_mean_percent_count,gpu_utilization_mean_percent_mean,gpu_utilization_mean_percent_std,gpu_utilization_mean_percent_median,gpu_utilization_mean_percent_min,gpu_utilization_mean_percent_max,gpu_utilization_max_percent_count,gpu_utilization_max_percent_mean,gpu_utilization_max_percent_std,gpu_utilization_max_percent_median,gpu_utilization_max_percent_min,gpu_utilization_max_percent_max,gpu_temperature_max_c_count,gpu_temperature_max_c_mean,gpu_temperature_max_c_std,gpu_temperature_max_c_median,gpu_temperature_max_c_min,gpu_temperature_max_c_max,torch_peak_allocated_vram_mb_count,torch_peak_allocated_vram_mb_mean,torch_peak_allocated_vram_mb_std,torch_peak_allocated_vram_mb_median,torch_peak_allocated_vram_mb_min,torch_peak_allocated_vram_mb_max,torch_peak_reserved_vram_mb_count,torch_peak_reserved_vram_mb_mean,torch_peak_reserved_vram_mb_std,torch_peak_reserved_vram_mb_median,torch_peak_reserved_vram_mb_min,torch_peak_reserved_vram_mb_max,nvml_peak_used_vram_mb_count,nvml_peak_used_vram_mb_mean,nvml_peak_used_vram_mb_std,nvml_peak_used_vram_mb_median,nvml_peak_used_vram_mb_min,nvml_peak_used_vram_mb_max,process_cpu_mean_percent_count,process_cpu_mean_percent_mean,process_cpu_mean_percent_std,process_cpu_mean_percent_median,process_cpu_mean_percent_min,process_cpu_mean_percent_max,process_cpu_max_percent_count,process_cpu_max_percent_mean,process_cpu_max_percent_std,process_cpu_max_percent_median,process_cpu_max_percent_min,process_cpu_max_percent_max,process_rss_peak_mb_count,process_rss_peak_mb_mean,process_rss_peak_mb_std,process_rss_peak_mb_median,process_rss_peak_mb_min,process_rss_peak_mb_max,system_ram_used_peak_mb_count,system_ram_used_peak_mb_mean,system_ram_used_peak_mb_std,system_ram_used_peak_mb_median,system_ram_used_peak_mb_min,system_ram_used_peak_mb_max,images_per_hour_count,images_per_hour_mean,images_per_hour_std,images_per_hour_median,images_per_hour_min,images_per_hour_max
20260723_200841,segmind-vega,none,42,512,512,20,7.5,6,4.850378666666667,1.1334660666422554,4.4003245,4.307636,7.160752,6,4.676497333333333,1.0456190202159994,4.258979500000001,4.157622,6.803736,6,0.1738765,0.09898635604516412,0.1469655,0.100011,0.357011,6,126.50016666666666,11.456654580053764,121.1625,120.048,149.287,6,0.03513893516666667,0.0031824039937490933,0.03365625,0.033346667,0.041468611,6,24.222963500000002,3.261752458528313,25.465108999999998,17.581389,25.83087,6,35.1455,0.18690933631041537,35.078,34.907,35.385,6,65.66505633333334,10.597589794136168,69.60869550000001,44.555556,72.173913,6,99.83333333333333,0.4082482904638627,100.0,99.0,100.0,6,62.333333333333336,3.0767948691238214,63.0,57.0,65.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,107.20950083333332,11.874722183507949,103.9652175,94.522222,123.995652,6,413.84999999999997,143.7948503945812,356.5,325.7,700.8,6,6315.294921666667,302.9856780425227,6430.986328,5700.070312,6471.0,6,6362.761718999999,368.1668551532241,6505.980469,5612.464844,6533.859375,6,767.5552054999999,130.2215408405502,818.1354965,502.740519,835.725212
20260723_200841,segmind-vega,none,43,512,512,20,7.5,6,4.825571166666666,0.981658274031532,4.4254885,4.238104,6.804518,6,4.6478005,0.9554336882456571,4.2981940000000005,4.128507,6.590391,6,0.17776566666666668,0.08586092839159537,0.148407,0.109594,0.334879,6,126.71383333333334,6.247723278656523,128.4185,115.896,132.715,6,0.03519828716666667,0.0017354789249828923,0.035671806,0.032193333,0.036865278,6,23.870661666666667,3.366235213751626,25.129934,17.098886,25.787391,6,35.09366666666667,0.09659537601079467,35.074,35.008,35.268,6,67.83543183333333,7.884285670007253,70.195652,53.085714,74.304348,6,99.83333333333333,0.4082482904638627,100.0,99.0,100.0,6,63.0,2.60768096208106,63.5,59.0,66.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,105.42820083333334,5.184958163694297,105.132609,99.478261,111.904167,6,369.98333333333335,108.00213732453011,328.8,287.4,583.3,6,6457.7154945,38.30770282315227,6461.070312,6397.300781,6513.136719,6,6515.861979,27.901053551906845,6526.548828,6474.570312,6546.289062,6,766.214128,119.44118760004356,813.560281,529.060271,849.436405
20260723_200841,segmind-vega,none,44,512,512,20,7.5,6,4.419352666666666,0.3093402611408134,4.400669499999999,4.075679,4.933894,6,4.26711,0.2639766244378466,4.247647,3.969887,4.706681,6,0.1522385,0.05423325078860754,0.1371985,0.098107,0.227209,6,123.67416666666668,5.127567392698666,124.105,116.394,129.315,6,0.03435393516666666,0.0014243242728250352,0.034473611,0.032331667,0.035920833,6,25.538348,1.0708914177280542,25.771098000000002,23.69604,26.944571,6,35.04516666666667,0.142858554754929,34.9935,34.944,35.319,6,68.39085133333333,3.8601651391771132,68.196558,63.36,73.52381,6,99.83333333333333,0.4082482904638627,100.0,99.0,100.0,6,63.333333333333336,2.5819888974716116,64.0,59.0,66.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,108.37082733333334,5.400744630273375,105.82351750000001,103.004167,116.644,6,372.6166666666666,74.30861098598645,374.9,266.5,451.4,6,6432.301432166667,54.53947852184772,6429.595703,6353.066406,6513.699219,6,6498.889323166666,31.264305189326386,6504.6445315,6445.027344,6533.042969,6,817.8278758333335,55.46109829931952,818.4329205,729.646821,883.288465
20260723_200841,segmind-vega,none,45,512,512,20,7.5,6,4.289092166666666,0.1448342108362756,4.2351215,4.200766,4.578477,6,4.154865166666666,0.10572242511674927,4.1282025,4.063756,4.354076,6,0.13422366666666666,0.04646221806443022,0.1148185,0.102118,0.224398,6,121.492,3.939007539977555,121.84200000000001,115.528,126.521,6,0.033747777666666666,0.0010941688193429166,0.033845,0.032091111,0.035144722,6,25.80820316666667,0.6448561674424526,25.9471095,25.015,26.518045,6,35.117,0.18866372200293258,35.039500000000004,34.974,35.469,6,71.88523833333333,3.5901138219656286,72.987154,64.791667,74.318182,6,100.0,0.0,100.0,100.0,100.0,6,63.166666666666664,2.4832774042918886,63.5,59.0,66.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,108.75486116666667,3.980281858746916,108.275,103.879167,115.2,6,348.8,42.568063145978364,344.85,297.1,408.8,6,6445.990234166667,47.57162926821116,6458.925781,6353.070312,6488.34375,6,6516.626953166667,41.03957592262727,6530.8300785,6434.144531,6545.59375,6,840.09873,27.022505520892903,850.049064,786.287632,856.986615
20260723_200841,segmind-vega,none,46,512,512,20,7.5,6,4.388383166666666,0.12499063597152643,4.3784155,4.226332,4.589004,6,4.263179166666666,0.12336368566384001,4.2630300000000005,4.08538,4.463657,6,0.12519983333333332,0.030379204258286083,0.1202865,0.096279,0.176487,6,120.68,4.4209730603114945,120.39500000000001,116.355,128.378,6,0.033522222166666664,0.0012280483805566327,0.0334430555,0.032320833,0.035660556,6,25.514045333333332,0.5063235848161399,25.4563475,24.712417,26.062682,6,35.0215,0.06746184106589274,34.996,34.971,35.149,6,72.3398385,1.2917027310573832,72.3238635,70.869565,74.173913,6,100.0,0.0,100.0,100.0,100.0,6,63.666666666666664,2.2509257354845498,64.5,60.0,66.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,109.05329916666666,2.8160833589326453,109.2383395,105.134783,112.756522,6,346.3333333333333,77.39689054908256,360.75,236.0,460.0,6,6428.022135333333,46.77815918774635,6425.8652345,6378.097656,6490.722656,6,6501.600911500001,36.465132543211425,6509.3828125,6458.097656,6538.230469,6,820.8974533333334,23.172095223138005,822.222955,784.483874,851.802389
20260723_200841,segmind-vega,none,47,512,512,20,7.5,6,4.3912613333333335,0.12378763761323903,4.4147375,4.156009,4.526605,6,4.234877333333333,0.137151226446819,4.283727,3.986989,4.371033,6,0.15637933333333334,0.05395186197590095,0.14793800000000001,0.105935,0.254772,6,123.3295,4.6360462357487275,123.1245,117.245,128.337,6,0.0342581945,0.0012877906152150259,0.03420125,0.032568056,0.035649167,6,25.5557075,0.6404576827337608,25.6301955,24.396087,26.122227,6,35.014,0.07054076835419461,35.021,34.893,35.109,6,69.36550266666667,2.3072586359857157,70.2608695,65.333333,71.521739,6,100.0,0.0,100.0,100.0,100.0,6,63.666666666666664,2.2509257354845498,64.5,60.0,66.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,107.98799133333334,5.0777273715388365,106.2869565,103.986957,117.120833,6,358.55,72.72839198002387,362.2,262.5,436.4,6,6429.447265333333,38.113771348748855,6428.802734,6386.164062,6474.253906,6,6499.656901166666,30.959080453453574,6495.857422,6460.8125,6535.777344,6,820.3710488333332,23.890937825331523,815.4513810000001,795.298046,866.215577
