experiment_id,model_name,model_huggingface_id,quantization,prompt_id,task_id,category,task,variant_type,prompt_style,width,height,num_inference_steps,guidance_scale,generation_total_seconds_count,generation_total_seconds_mean,generation_total_seconds_std,generation_total_seconds_median,generation_total_seconds_min,generation_total_seconds_max,inference_seconds_count,inference_seconds_mean,inference_seconds_std,inference_seconds_median,inference_seconds_min,inference_seconds_max,image_save_seconds_count,image_save_seconds_mean,image_save_seconds_std,image_save_seconds_median,image_save_seconds_min,image_save_seconds_max,gpu_energy_j_count,gpu_energy_j_mean,gpu_energy_j_std,gpu_energy_j_median,gpu_energy_j_min,gpu_energy_j_max,gpu_energy_wh_count,gpu_energy_wh_mean,gpu_energy_wh_std,gpu_energy_wh_median,gpu_energy_wh_min,gpu_energy_wh_max,gpu_power_mean_w_count,gpu_power_mean_w_mean,gpu_power_mean_w_std,gpu_power_mean_w_median,gpu_power_mean_w_min,gpu_power_mean_w_max,gpu_power_max_w_count,gpu_power_max_w_mean,gpu_power_max_w_std,gpu_power_max_w_median,gpu_power_max_w_min,gpu_power_max_w_max,gpu_utilization_mean_percent_count,gpu_utilization_mean_percent_mean,gpu_utilization_mean_percent_std,gpu_utilization_mean_percent_median,gpu_utilization_mean_percent_min,gpu_utilization_mean_percent_max,gpu_utilization_max_percent_count,gpu_utilization_max_percent_mean,gpu_utilization_max_percent_std,gpu_utilization_max_percent_median,gpu_utilization_max_percent_min,gpu_utilization_max_percent_max,gpu_temperature_max_c_count,gpu_temperature_max_c_mean,gpu_temperature_max_c_std,gpu_temperature_max_c_median,gpu_temperature_max_c_min,gpu_temperature_max_c_max,torch_peak_allocated_vram_mb_count,torch_peak_allocated_vram_mb_mean,torch_peak_allocated_vram_mb_std,torch_peak_allocated_vram_mb_median,torch_peak_allocated_vram_mb_min,torch_peak_allocated_vram_mb_max,torch_peak_reserved_vram_mb_count,torch_peak_reserved_vram_mb_mean,torch_peak_reserved_vram_mb_std,torch_peak_reserved_vram_mb_median,torch_peak_reserved_vram_mb_min,torch_peak_reserved_vram_mb_max,nvml_peak_used_vram_mb_count,nvml_peak_used_vram_mb_mean,nvml_peak_used_vram_mb_std,nvml_peak_used_vram_mb_median,nvml_peak_used_vram_mb_min,nvml_peak_used_vram_mb_max,process_cpu_mean_percent_count,process_cpu_mean_percent_mean,process_cpu_mean_percent_std,process_cpu_mean_percent_median,process_cpu_mean_percent_min,process_cpu_mean_percent_max,process_cpu_max_percent_count,process_cpu_max_percent_mean,process_cpu_max_percent_std,process_cpu_max_percent_median,process_cpu_max_percent_min,process_cpu_max_percent_max,process_rss_peak_mb_count,process_rss_peak_mb_mean,process_rss_peak_mb_std,process_rss_peak_mb_median,process_rss_peak_mb_min,process_rss_peak_mb_max,system_ram_used_peak_mb_count,system_ram_used_peak_mb_mean,system_ram_used_peak_mb_std,system_ram_used_peak_mb_median,system_ram_used_peak_mb_min,system_ram_used_peak_mb_max,images_per_hour_count,images_per_hour_mean,images_per_hour_std,images_per_hour_median,images_per_hour_min,images_per_hour_max
20260723_200841,segmind-vega,segmind/Segmind-Vega,none,P001,T001,role,codes,general,general,512,512,20,7.5,6,5.328830833333333,1.3075316754368007,4.693343499999999,4.217638,7.160752,6,5.1243515,1.2363036137002514,4.4914915,4.105922,6.803736,6,0.2044745,0.08646716772451846,0.19530350000000002,0.111711,0.357011,6,127.26266666666668,12.124284682679907,123.43700000000001,115.528,149.287,6,0.035350740666666665,0.003367856893198683,0.0342880555,0.032091111,0.041468611,6,22.19476333333333,3.8061995473508556,24.046063500000002,17.098886,25.348087,6,35.033166666666666,0.03799692970052648,35.034,34.981,35.075,6,62.053900666666664,11.037638105498104,65.701739,44.555556,72.409091,6,99.83333333333333,0.4082482904638627,100.0,99.0,100.0,6,59.0,1.0954451150103326,59.0,57.0,60.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,106.28982766666667,7.858369119500831,107.71749,94.522222,116.644,6,343.2,69.44934844906754,341.85,262.5,451.4,6,6363.371093666666,325.30840692734324,6489.533203,5700.070312,6513.699219,6,6359.447265666667,366.430037290117,6508.794922,5612.464844,6527.859375,6,706.8398595,153.55567245649667,769.0641055000001,502.740519,853.558226
20260723_200841,segmind-vega,segmind/Segmind-Vega,none,P002,T001,role,codes,se,se,512,512,20,7.5,6,4.269742166666666,0.1292762187247397,4.222405,4.156009,4.484714,6,4.142988,0.1479547423829327,4.0961315,3.986989,4.383299,6,0.12675033333333333,0.02504965926847442,0.118768,0.101411,0.169014,6,118.26266666666668,3.028183856153168,116.8195,115.896,123.638,6,0.032850740833333336,0.0008411622841056112,0.032449861499999996,0.032193333,0.034343889,6,25.590772333333334,0.3708623595867687,25.5822165,25.169364,26.122227,6,35.05133333333333,0.042250049309636786,35.0345,35.013,35.124,6,71.67556,2.839911864854184,72.568182,66.478261,74.318182,6,100.0,0.0,100.0,100.0,100.0,6,61.666666666666664,0.516397779494321,62.0,61.0,62.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,110.2550725,7.129063661370035,107.9954545,105.134783,123.995652,6,393.15000000000003,163.49780120845656,334.45000000000005,266.5,700.8,6,6440.583984,39.618623005299234,6463.351562,6378.097656,6471.0,6,6509.379557333334,33.3624573111103,6527.861328,6458.097656,6533.117188,6,843.7729368333333,25.0014402835193,852.606391,802.726851,866.215577
20260723_200841,segmind-vega,segmind/Segmind-Vega,none,P003,T001,role,codes,fair,fair,512,512,20,7.5,6,4.290191,0.13086036275205729,4.32693,4.075679,4.432089,6,4.144046333333333,0.10473923085771955,4.1674675,3.969887,4.267562,6,0.146141,0.06314451263253205,0.1145565,0.096279,0.254772,6,121.02483333333333,3.614368460279976,120.05199999999999,116.494,126.954,6,0.033618009,0.0010039914092540814,0.033347777499999995,0.032359444,0.035265,6,26.0176245,0.7786209842103541,26.082174000000002,24.647913,26.944571,6,35.216166666666666,0.18804192794870636,35.2085,34.944,35.469,6,72.86332266666666,1.2893403336265656,72.80735949999999,71.521739,74.304348,6,100.0,0.0,100.0,100.0,100.0,6,63.166666666666664,0.7527726527090816,63.0,62.0,64.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,110.685137,5.474665023558607,110.642885,103.986957,119.321739,6,390.48333333333335,47.22734024552585,396.95,319.8,447.9,6,6432.874348833334,32.3016797870694,6438.345703,6397.230469,6468.550781,6,6513.922526166666,25.578375429576784,6515.3769535,6484.246094,6545.59375,6,839.7873175,26.123508170384497,832.0194074999999,812.257978,883.288465
20260723_200841,segmind-vega,segmind/Segmind-Vega,none,P004,T002,role,fixes bugs,general,general,512,512,20,7.5,6,4.381036333333333,0.17259104159447755,4.34426,4.226332,4.699604,6,4.2186189999999995,0.10203973284559294,4.202329,4.08538,4.364718,6,0.162413,0.09054708472170708,0.12681399999999998,0.098107,0.334879,6,123.42266666666667,3.649884308668785,122.0395,120.046,128.153,6,0.034284074,0.0010138569068644748,0.033899861,0.033346111,0.035598056,6,25.65454,0.6744851099038431,25.795717500000002,24.422042,26.373864,6,35.022,0.05643403228549178,35.00749999999999,34.971,35.095,6,71.45223983333334,2.254371737299193,72.0869565,67.434783,74.136364,6,100.0,0.0,100.0,100.0,100.0,6,64.5,0.5477225575051654,64.5,64.0,65.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,107.28047049999999,3.001897126940283,107.0144265,104.06087,111.904167,6,373.01666666666665,105.26037082713827,333.25,301.9,583.3,6,6427.100911333334,30.13051929553675,6429.5,6397.300781,6454.503906,6,6510.479166833334,25.30768800151497,6511.150391,6484.824219,6534.164062,6,822.7474255000001,31.209210950854274,828.7426175,766.02195,851.802389
20260723_200841,segmind-vega,segmind/Segmind-Vega,none,P005,T002,role,fixes bugs,se,se,512,512,20,7.5,6,4.4824895,0.10903984671440058,4.504751,4.307636,4.589004,6,4.3392605,0.0879497236078662,4.341451,4.199448,4.463657,6,0.143224,0.04383116446091752,0.13436700000000001,0.105935,0.224398,6,127.02749999999999,4.249475108763433,128.3575,120.512,132.715,6,0.035285417,0.0011804097360296583,0.0356548615,0.033475556,0.036865278,6,25.417225333333334,0.45453757100933556,25.602685,24.712417,25.787391,6,35.12966666666667,0.19847182839553373,35.1015,34.893,35.385,6,68.26720999999999,2.7452525232297273,68.3487315,64.791667,72.375,6,99.66666666666667,0.5163977794943239,100.0,99.0,100.0,6,65.0,0.0,65.0,65.0,65.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,103.32469833333333,3.1591802309216037,104.08088799999999,97.486957,107.008333,6,318.21666666666664,41.88171040760712,328.75,236.0,348.9,6,6442.577473833334,21.012840369602543,6444.0722655,6404.453125,6461.425781,6,6521.915364833333,18.67459686402487,6524.8476565,6486.699219,6538.230469,6,803.5267135,19.813971565170757,799.197939,784.483874,835.725212
20260723_200841,segmind-vega,segmind/Segmind-Vega,none,P006,T002,role,fixes bugs,fair,fair,512,512,20,7.5,6,4.411749333333334,0.09055614537438453,4.4051835,4.278361,4.526605,6,4.275064166666667,0.07333859809518219,4.2909625,4.172117,4.371033,6,0.13668066666666667,0.04374100844135474,0.129832,0.096911,0.207931,6,125.38933333333334,3.7003123471764687,126.207,120.11,129.315,6,0.03483037033333333,0.0010278645959628473,0.035057500000000005,0.033363889,0.035920833,6,25.635003666666666,0.26459202340786253,25.5575655,25.360217,26.017174,6,34.9845,0.05125524363418929,34.995000000000005,34.907,35.053,6,69.16968583333333,3.4260088107975144,69.695652,65.25,73.565217,6,100.0,0.0,100.0,100.0,100.0,6,65.83333333333333,0.4082482904638627,66.0,65.0,66.0,6,1548.63916,0.0,1548.63916,1548.63916,1548.63916,6,1946.0,0.0,1946.0,1946.0,1946.0,6,2302.617188,0.0,2302.617188,2302.617188,2302.617188,6,108.96947466666667,7.049804809876053,109.0740945,99.478261,117.120833,6,392.06666666666666,46.891264289488575,403.65,335.3,460.0,6,6402.2636715,52.84224191704238,6386.162109,6353.066406,6473.695312,6,6480.253906166666,47.612949720063526,6461.1015625,6434.144531,6546.289062,6,816.2901886666667,16.803180899791748,817.226542,795.298046,841.443628
