experiment_id,metric,warmup_count_configured,warmup_observations,steady_state_observations,warmup_mean,steady_state_mean,absolute_difference,warmup_to_steady_ratio,percent_difference_from_steady
20260723_224931,generation_total_seconds,1,1,35,6.596941,4.852468857142857,1.744472142857143,1.359501976048599,35.95019760485988
20260723_224931,inference_seconds,1,1,35,6.239789,4.632700114285715,1.607088885714285,1.3469011259240706,34.69011259240706
20260723_224931,image_save_seconds,1,1,35,0.357147,0.21975862857142855,0.13738837142857144,1.6251785075365806,62.517850753658045
20260723_224931,gpu_energy_j,1,1,35,206.839,212.73968571428574,-5.900685714285743,0.9722633523008467,-2.7736647699153316
20260723_224931,gpu_energy_wh,1,1,35,0.057455278,0.05909435714285715,-0.0016390791428571513,0.972263356061311,-2.7736643938688994
20260723_224931,gpu_power_mean_w,1,1,35,22.368895,34.85484208571429,-12.48594708571429,0.6417729549596262,-35.82270450403738
20260723_224931,gpu_power_max_w,1,1,35,44.022,43.312828571428575,0.7091714285714232,1.016373242107749,1.6373242107748882
20260723_224931,gpu_utilization_mean_percent,1,1,35,55.421053,67.0263826,-11.605329600000005,0.8268543049793052,-17.314569502069478
20260723_224931,gpu_utilization_max_percent,1,1,35,99.0,89.48571428571428,9.51428571428572,1.10632183908046,10.632183908045983
20260723_224931,gpu_temperature_max_c,1,1,35,52.0,66.94285714285714,-14.942857142857136,0.776781903542467,-22.321809645753298
20260723_224931,torch_peak_allocated_vram_mb,1,1,35,5237.001953,5237.001953,0.0,1.0,0.0
20260723_224931,torch_peak_reserved_vram_mb,1,1,35,5724.0,5724.0,0.0,1.0,0.0
20260723_224931,nvml_peak_used_vram_mb,1,1,35,6080.617188,6080.617188,0.0,1.0,0.0
20260723_224931,process_cpu_mean_percent,1,1,35,78.894737,101.59679288571428,-22.702055885714273,0.7765475145337344,-22.345248546626568
20260723_224931,process_cpu_max_percent,1,1,35,101.0,137.55428571428573,-36.554285714285726,0.7342555666334329,-26.5744433366567
20260723_224931,process_rss_peak_mb,1,1,35,1980.1875,1980.2695309999997,-0.08203099999968799,0.9999585758409573,-0.004142415904276619
20260723_224931,system_ram_used_peak_mb,1,1,35,1948.515625,1940.7542410571427,7.761383942857265,1.0039991585635437,0.3999158563543616
20260723_224931,images_per_hour,1,1,35,545.70749,742.6002781714287,-196.89278817142872,0.734860336093254,-26.513966390674604
