experiment_id,metric,count,mean,std,cv_percent,min,q1,median,q3,p95,max,sum
20260723_224931,model_load_seconds,36,13.781895000000002,9.007773244411332e-15,6.535946794262567e-14,13.781895,13.781895,13.781895,13.781895,13.781895,13.781895,496.1482200000001
20260723_224931,inference_seconds,36,4.6773414722222215,0.30974076988064764,6.622154309667895,4.408229,4.5425375,4.6395905,4.69931725,5.06148275,6.239789,168.38429299999999
20260723_224931,image_save_seconds,36,0.2235749722222222,0.053468644972269816,23.91530878470811,0.137213,0.193008,0.2137395,0.255749,0.32146600000000003,0.357147,8.048699
20260723_224931,generation_total_seconds,36,4.900926416666666,0.3283990993289698,6.70075555944234,4.619343,4.73616325,4.848487,4.9259425,5.26067925,6.596941,176.43335099999996
20260723_224931,execution_time_seconds,36,4.900926416666666,0.3283990993289698,6.70075555944234,4.619343,4.73616325,4.848487,4.9259425,5.26067925,6.596941,176.43335099999996
20260723_224931,monitoring_duration_seconds,36,4.913375555555556,0.3286904216310057,6.689706860680644,4.630029,4.74441775,4.8762445,4.9343597500000005,5.2798685,6.606115,176.88152
20260723_224931,gpu_energy_j,36,212.5757777777778,8.0513815109533,3.7875347770666723,201.328,207.03050000000002,211.435,216.357,223.97325,241.965,7652.728000000001
20260723_224931,gpu_energy_wh,36,0.05904882716666666,0.002236494919919527,3.7875348711109353,0.055924444,0.057508472500000005,0.0587319445,0.0600991665,0.062214792,0.0672125,2.1257577779999997
20260723_224931,joules_per_image,36,212.5757777777778,8.0513815109533,3.7875347770666723,201.328,207.03050000000002,211.435,216.357,223.97325,241.965,7652.728000000001
20260723_224931,wh_per_image,36,0.05904882716666666,0.002236494919919527,3.7875348711109353,0.055924444,0.057508472500000005,0.0587319445,0.0600991665,0.062214792,0.0672125,2.1257577779999997
20260723_224931,gpu_power_mean_w,36,34.508010222222225,5.755043770304898,16.677414122819535,22.368895,30.304312250000002,36.4353845,39.57541675,40.490483250000004,40.856423,1242.288368
20260723_224931,gpu_power_max_w,36,43.33252777777778,2.7284468264785073,6.296532804342276,34.791,42.717,44.8245,45.106750000000005,45.269,45.282,1559.971
20260723_224931,gpu_utilization_mean_percent,36,66.70401233333334,22.83985857174843,34.24060678331173,0.0,58.70833325,77.22159099999999,81.07291675,85.3863635,86.416667,2401.3444440000003
20260723_224931,gpu_utilization_max_percent,36,89.75,23.574047473561137,26.2663481599567,0.0,96.0,97.0,97.0,98.0,99.0,3231.0
20260723_224931,gpu_temperature_start_c,36,61.166666666666664,6.942621983083914,11.350335667167162,44.0,56.75,62.0,66.25,69.25,74.0,2202.0
20260723_224931,gpu_temperature_max_c,36,66.52777777777777,6.389661788997737,9.604502062794094,52.0,62.75,67.0,72.0,74.0,75.0,2395.0
20260723_224931,gpu_temperature_end_c,36,65.02777777777777,6.398598556876612,9.83979274017762,48.0,61.75,64.5,70.25,72.25,74.0,2341.0
20260723_224931,gpu_power_limit_w,36,45.0,0.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,1620.0
20260723_224931,torch_peak_allocated_vram_mb,36,5237.001953,0.0,0.0,5237.001953,5237.001953,5237.001953,5237.001953,5237.001953,5237.001953,188532.070308
20260723_224931,torch_peak_reserved_vram_mb,36,5724.0,0.0,0.0,5724.0,5724.0,5724.0,5724.0,5724.0,5724.0,206064.0
20260723_224931,nvml_peak_used_vram_mb,36,6080.617188,2.767187940683161e-12,4.550833994523059e-14,6080.617188,6080.617188,6080.617188,6080.617188,6080.617188,6080.617188,218902.21876800002
20260723_224931,peak_vram_mb,36,5237.001953,0.0,0.0,5237.001953,5237.001953,5237.001953,5237.001953,5237.001953,5237.001953,188532.070308
20260723_224931,process_cpu_mean_percent,36,100.96618022222223,7.348933052686126,7.278608576170198,78.894737,98.127273,100.993421,102.57500025,110.76758199999999,127.7,3634.7824880000003
20260723_224931,process_cpu_max_percent,36,136.5388888888889,56.539423807149326,41.409025858676316,96.5,110.89999999999999,116.0,134.25,228.95000000000002,406.4,4915.400000000001
20260723_224931,process_cpu_user_seconds,36,4.593333333333333,0.2776945907184469,6.045600668761543,4.2,4.365,4.525,4.88,5.015,5.1,165.35999999999999
20260723_224931,process_cpu_system_seconds,36,0.5633333333333332,0.08535639569308372,15.152022904097704,0.46,0.525,0.55,0.58,0.6225,1.0,20.279999999999998
20260723_224931,process_rss_start_mb,36,1962.2412109444444,107.67773433333336,5.487487151567217,1334.121094,1980.1875,1980.1875,1980.1875,1980.1875,1980.1875,70640.683594
20260723_224931,process_rss_peak_mb,36,1980.2672523611109,0.013671833333319224,0.0006904034451419642,1980.1875,1980.269531,1980.269531,1980.269531,1980.269531,1980.269531,71289.62108499999
20260723_224931,process_rss_end_mb,36,1980.1875,0.0,0.0,1980.1875,1980.1875,1980.1875,1980.1875,1980.1875,1980.1875,71286.75
20260723_224931,system_ram_used_start_mb,36,1922.290907138889,98.03938081756777,5.100132370884916,1350.808594,1935.77832,1937.591797,1940.82324225,1946.866211,1947.238281,69202.472657
20260723_224931,system_ram_used_peak_mb,36,1940.9698350555554,3.7299683462710003,0.1921703407700944,1935.054688,1938.071289,1940.6601565,1942.8320315,1948.08105475,1948.515625,69874.914062
20260723_224931,system_ram_used_end_mb,36,1938.9774305555557,3.6811034822521487,0.18984767043922937,1932.472656,1936.39648425,1938.4863285000001,1940.93847675,1945.303711,1948.515625,69803.1875
20260723_224931,images_per_hour,36,737.1310340555557,39.83474209491616,5.404024556631802,545.70749,730.830245,742.507015,760.1095005,769.9954035000001,779.331547,26536.717226000004
