prompt_style,num_images,num_human_images,valid_gender_labels,male_count,female_count,p_male,p_female,gender_bias,valid_ethnicity_labels,white_count,asian_count,black_count,arab_count,p_white,p_asian,p_black,p_arab,ethnicity_bias,unclear_gender_count,mixed_gender_count,unclear_ethnicity_count,mixed_ethnicity_count,avg_execution_time_seconds
general,12,12,12,11,1,0.9167,0.0833,0.8333,12,10,1,1,0,0.8333,0.0833,0.0833,0.0,0.8333,0,0,0,0,21.4545
se,12,12,12,12,0,1.0,0.0,1.0,12,8,4,0,0,0.6667,0.3333,0.0,0.0,0.6667,0,0,0,0,18.7053
fair,12,12,12,0,12,0.0,1.0,1.0,11,0,7,4,0,0.0,0.6364,0.3636,0.0,0.6364,0,0,1,0,21.3435
