experiment_id,metric,warmup_count_configured,warmup_observations,steady_state_observations,warmup_mean,steady_state_mean,absolute_difference,warmup_to_steady_ratio,percent_difference_from_steady
20260723_190845,generation_total_seconds,1,1,35,29.818232,20.23489394285714,9.583338057142857,1.473604560725941,47.36045607259408
20260723_190845,inference_seconds,1,1,35,28.933291,19.353002857142855,9.580288142857146,1.495028508680307,49.50285086803069
20260723_190845,image_save_seconds,1,1,35,0.884389,0.8818831142857142,0.0025058857142857827,1.0028415168333453,0.2841516833345242
20260723_190845,gpu_energy_j,1,1,35,315.591,280.13419999999996,35.456800000000044,1.1265707650119123,12.657076501191234
20260723_190845,gpu_energy_wh,1,1,35,0.087664167,0.07781505557142858,0.009849111428571422,1.126570769065771,12.657076906577098
20260723_190845,gpu_power_mean_w,1,1,35,9.619651,13.552758628571429,-3.9331076285714293,0.7097928372840792,-29.02071627159209
20260723_190845,gpu_power_max_w,1,1,35,35.658,35.27837142857143,0.37962857142856876,1.0107609437753442,1.0760943775344267
20260723_190845,gpu_utilization_mean_percent,1,1,35,30.794521,34.466464314285716,-3.6719433142857163,0.8934633015791016,-10.653669842089847
20260723_190845,gpu_utilization_max_percent,1,1,35,100.0,99.68571428571428,0.3142857142857167,1.003152765835483,0.31527658354829713
20260723_190845,gpu_temperature_max_c,1,1,35,48.0,55.4,-7.399999999999999,0.8664259927797834,-13.357400722021659
20260723_190845,torch_peak_allocated_vram_mb,1,1,35,5103.887207,5103.887206999999,9.094947017729282e-13,1.0000000000000002,1.7819647356735334e-14
20260723_190845,torch_peak_reserved_vram_mb,1,1,35,5354.0,5354.0,0.0,1.0,0.0
20260723_190845,nvml_peak_used_vram_mb,1,1,35,5710.617188,5710.617188,0.0,1.0,0.0
20260723_190845,process_cpu_mean_percent,1,1,35,97.404795,92.67792417142857,4.726870828571421,1.0510032013646315,5.100320136463151
20260723_190845,process_cpu_max_percent,1,1,35,646.7,681.202857142857,-34.50285714285701,0.9493500991942826,-5.064990080571743
20260723_190845,process_rss_peak_mb,1,1,35,6834.742188,6998.787499942857,-164.04531194285664,0.9765608954487908,-2.3439104551209193
20260723_190845,system_ram_used_peak_mb,1,1,35,7176.113281,7232.6627232,-56.54944220000016,0.9921813798922756,-0.7818620107724389
20260723_190845,images_per_hour,1,1,35,120.731506,182.4177986,-61.6862926,0.6618406039683454,-33.815939603165454
