experiment_id,model_name,model_huggingface_id,quantization,prompt_id,task_id,category,task,variant_type,prompt_style,width,height,num_inference_steps,guidance_scale,generation_total_seconds_count,generation_total_seconds_mean,generation_total_seconds_std,generation_total_seconds_median,generation_total_seconds_min,generation_total_seconds_max,inference_seconds_count,inference_seconds_mean,inference_seconds_std,inference_seconds_median,inference_seconds_min,inference_seconds_max,image_save_seconds_count,image_save_seconds_mean,image_save_seconds_std,image_save_seconds_median,image_save_seconds_min,image_save_seconds_max,gpu_energy_j_count,gpu_energy_j_mean,gpu_energy_j_std,gpu_energy_j_median,gpu_energy_j_min,gpu_energy_j_max,gpu_energy_wh_count,gpu_energy_wh_mean,gpu_energy_wh_std,gpu_energy_wh_median,gpu_energy_wh_min,gpu_energy_wh_max,gpu_power_mean_w_count,gpu_power_mean_w_mean,gpu_power_mean_w_std,gpu_power_mean_w_median,gpu_power_mean_w_min,gpu_power_mean_w_max,gpu_power_max_w_count,gpu_power_max_w_mean,gpu_power_max_w_std,gpu_power_max_w_median,gpu_power_max_w_min,gpu_power_max_w_max,gpu_utilization_mean_percent_count,gpu_utilization_mean_percent_mean,gpu_utilization_mean_percent_std,gpu_utilization_mean_percent_median,gpu_utilization_mean_percent_min,gpu_utilization_mean_percent_max,gpu_utilization_max_percent_count,gpu_utilization_max_percent_mean,gpu_utilization_max_percent_std,gpu_utilization_max_percent_median,gpu_utilization_max_percent_min,gpu_utilization_max_percent_max,gpu_temperature_max_c_count,gpu_temperature_max_c_mean,gpu_temperature_max_c_std,gpu_temperature_max_c_median,gpu_temperature_max_c_min,gpu_temperature_max_c_max,torch_peak_allocated_vram_mb_count,torch_peak_allocated_vram_mb_mean,torch_peak_allocated_vram_mb_std,torch_peak_allocated_vram_mb_median,torch_peak_allocated_vram_mb_min,torch_peak_allocated_vram_mb_max,torch_peak_reserved_vram_mb_count,torch_peak_reserved_vram_mb_mean,torch_peak_reserved_vram_mb_std,torch_peak_reserved_vram_mb_median,torch_peak_reserved_vram_mb_min,torch_peak_reserved_vram_mb_max,nvml_peak_used_vram_mb_count,nvml_peak_used_vram_mb_mean,nvml_peak_used_vram_mb_std,nvml_peak_used_vram_mb_median,nvml_peak_used_vram_mb_min,nvml_peak_used_vram_mb_max,process_cpu_mean_percent_count,process_cpu_mean_percent_mean,process_cpu_mean_percent_std,process_cpu_mean_percent_median,process_cpu_mean_percent_min,process_cpu_mean_percent_max,process_cpu_max_percent_count,process_cpu_max_percent_mean,process_cpu_max_percent_std,process_cpu_max_percent_median,process_cpu_max_percent_min,process_cpu_max_percent_max,process_rss_peak_mb_count,process_rss_peak_mb_mean,process_rss_peak_mb_std,process_rss_peak_mb_median,process_rss_peak_mb_min,process_rss_peak_mb_max,system_ram_used_peak_mb_count,system_ram_used_peak_mb_mean,system_ram_used_peak_mb_std,system_ram_used_peak_mb_median,system_ram_used_peak_mb_min,system_ram_used_peak_mb_max,images_per_hour_count,images_per_hour_mean,images_per_hour_std,images_per_hour_median,images_per_hour_min,images_per_hour_max
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,P001,T001,role,codes,general,general,512.0,512.0,15.0,5.0,6,23.012282499999998,4.443279301143549,23.2694815,17.911886,29.818232,6,22.167364000000003,4.429977448250905,22.588595,17.186236,28.933291,6,0.8448201666666666,0.3275149042180625,0.827637,0.434193,1.355435,6,283.6843333333333,19.123037820039638,280.6775,262.684,315.591,6,0.078801204,0.005311954956128905,0.07796597250000001,0.072967778,0.087664167,6,12.205608333333332,1.6493995206627983,12.117621,9.619651,14.231273,6,35.28483333333333,0.28297308470359317,35.138000000000005,35.04,35.658,6,32.09530516666667,1.3554010149360842,31.7639985,30.794521,34.179775,6,99.33333333333333,1.211060141638997,100.0,97.0,100.0,6,51.5,1.8708286933869696,52.0,48.0,53.0,6,5103.887207,0.0,5103.887207,5103.887207,5103.887207,6,5354.0,0.0,5354.0,5354.0,5354.0,6,5710.617188,0.0,5710.617188,5710.617188,5710.617188,6,88.90567916666667,4.74979148140549,88.46443350000001,83.867521,97.404795,6,606.7166666666667,85.9997771314942,590.15,522.3,755.1,6,6954.375651166666,119.56436468936977,6919.8847655,6834.742188,7171.027344,6,7246.832031166666,125.51117336527648,7186.566406,7162.480469,7487.222656,6,161.35560983333332,30.948144285155816,154.8799295,120.731506,200.983866
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,P002,T001,role,codes,se,se,512.0,512.0,15.0,5.0,6,19.880641,1.4813311836743326,19.0389545,18.728567,22.186707,6,19.1035025,1.5617774357012262,18.283496,17.886703,21.660365,6,0.7771276666666668,0.16136986032176723,0.808288,0.526332,0.970395,6,277.844,10.85915619189631,278.749,260.515,290.731,6,0.07717888883333333,0.003016432098383874,0.0774302775,0.072365278,0.080758611,6,13.407009166666667,0.5539445978840899,13.3785055,12.862,14.075914,6,35.32716666666666,0.3211562963210716,35.3185,34.857,35.753,6,35.69847683333334,1.5225053656799266,35.414302500000005,33.980769,38.478261,6,99.83333333333333,0.4082482904638627,100.0,99.0,100.0,6,54.666666666666664,0.516397779494321,55.0,54.0,55.0,6,5103.887207,0.0,5103.887207,5103.887207,5103.887207,6,5354.0,0.0,5354.0,5354.0,5354.0,6,5710.617188,0.0,5710.617188,5710.617188,5710.617188,6,95.56581483333333,3.2829234198039026,95.50486849999999,90.984615,99.183333,6,638.1,115.66019194173938,590.55,528.4,787.9,6,7029.535807333334,54.90969845231286,7036.326172,6952.308594,7087.132812,6,7236.685546833333,61.48469483179611,7227.998047,7171.226562,7335.695312,6,181.87960866666666,12.871147268721021,189.0860255,162.25932,192.219722
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,P003,T001,role,codes,fair,fair,512.0,512.0,15.0,5.0,6,20.178465833333334,5.474291359150459,18.3663965,16.293141,30.654395,6,19.116195333333334,4.873400062041764,17.694632,15.567406,28.434296,6,1.0622635,0.6371715238353798,0.703245,0.662757,2.220086,6,278.548,14.276116923029171,278.95349999999996,262.221,299.565,6,0.0773744445,0.003965587893657268,0.077487083,0.072839167,0.0832125,6,14.022957,1.7403788884814704,14.657322,10.846992,15.485062,6,35.32516666666667,0.362502643668523,35.2325,35.014,36.02,6,33.89566466666667,3.5062874371069848,34.1386055,27.604839,38.0,6,99.66666666666667,0.5163977794943239,100.0,99.0,100.0,6,55.166666666666664,0.9831920802501748,55.5,54.0,56.0,6,5103.887207,0.0,5103.887207,5103.887207,5103.887207,6,5354.0,0.0,5354.0,5354.0,5354.0,6,5710.617188,0.0,5710.617188,5710.617188,5710.617188,6,92.0428875,9.116943278018502,95.91832,75.900806,99.385185,6,718.1166666666667,92.20115870566194,766.65,563.7,786.8,6,7057.877604166667,105.24744871089202,7022.7910155,6959.0625,7193.980469,6,7270.304036500001,137.96524553176334,7192.4902345,7166.890625,7484.289062,6,187.24571033333334,39.731275079113374,197.0858675,117.438299,220.951875
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,P004,T002,role,fixes bugs,general,general,512.0,512.0,15.0,5.0,6,19.896725833333335,3.3083456284787065,19.4360645,16.908591,25.839799,6,19.170274000000003,3.3268958473909573,18.5881635,16.177931,25.139736,6,0.726445,0.18648870731709205,0.7153545,0.54369,1.054702,6,284.54566666666665,18.012910777180526,284.1065,260.229,312.794,6,0.07904046283333334,0.005003586317060579,0.07891847199999999,0.072285833,0.086887222,6,13.896318333333333,1.2306491605869918,14.039277,11.84968,15.195857,6,35.27166666666667,0.16323806745568378,35.269000000000005,35.042,35.476,6,34.39471966666667,3.165317871219867,34.877193000000005,29.92623,38.470588,6,99.5,1.2247448713915885,100.0,97.0,100.0,6,56.5,0.5477225575051664,56.5,56.0,57.0,6,5103.887207,0.0,5103.887207,5103.887207,5103.887207,6,5354.0,0.0,5354.0,5354.0,5354.0,6,5710.617188,0.0,5710.617188,5710.617188,5710.617188,6,92.64147016666668,6.097932693677048,95.235638,82.890164,98.12,6,682.9666666666667,103.89076314411531,719.0,533.4,791.4,6,7004.645833166666,90.71937559345746,7016.101562,6901.546875,7147.1875,6,7214.267578166667,41.309218527973776,7196.232422,7174.671875,7282.9375,6,184.70649516666666,27.47285780108883,185.7391085,139.31997,212.909523
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,P005,T002,role,fixes bugs,se,se,512.0,512.0,15.0,5.0,6,17.5299805,1.2281325123208413,17.540588,15.439736,19.22913,6,16.6833725,0.9837056384072927,16.81686,15.07178,17.737354,6,0.8466003333333333,0.4626214792500092,0.788144,0.367952,1.491771,6,272.5045,19.791631067196047,265.645,252.342,308.256,6,0.07569569450000001,0.005497675408139837,0.073790278,0.070095,0.085626667,6,14.544629333333333,0.5657887436196187,14.2999065,14.031854,15.295091,6,35.367,0.26629832894706595,35.3305,35.085,35.771,6,36.7525245,1.1087459622961,36.826412000000005,35.258427,37.978495,6,99.83333333333333,0.4082482904638627,100.0,99.0,100.0,6,57.0,0.6324555320336759,57.0,56.0,58.0,6,5103.887207,0.0,5103.887207,5103.887207,5103.887207,6,5354.0,0.0,5354.0,5354.0,5354.0,6,5710.617188,0.0,5710.617188,5710.617188,5710.617188,6,97.320649,2.372824881312571,97.553462,94.465882,100.744944,6,722.15,65.26459223805814,726.05,603.4,787.1,6,6961.485677,72.50361338028756,6941.5820315,6894.851562,7051.238281,6,7214.082682333334,82.46922964501803,7183.986328,7163.875,7381.273438,6,206.23912983333332,15.065928760288664,205.24264599999998,187.215956,233.16461
20260723_190845,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,P006,T002,role,fixes bugs,fair,fair,512.0,512.0,15.0,5.0,6,22.508491000000003,3.3454668624204915,22.2312535,18.589359,27.920622,6,21.4740235,3.2621347990392877,21.457864999999998,17.575716,26.916303,6,1.0344596666666666,0.4026039167512739,1.008974,0.451222,1.70895,6,289.58816666666667,17.10349872297087,282.7965,274.866,320.525,6,0.08044115733333333,0.004750971699012635,0.07855458300000001,0.076351667,0.089034722,6,12.584511666666666,1.0004438002695935,12.4820645,11.370288,13.758989,6,35.157666666666664,0.1547781207621625,35.157,34.939,35.402,6,33.3501045,2.315135390754224,33.664833,29.863636,35.934783,6,100.0,0.0,100.0,100.0,100.0,6,56.333333333333336,0.516397779494321,56.0,56.0,57.0,6,5103.887207,0.0,5103.887207,5103.887207,5103.887207,6,5354.0,0.0,5354.0,5354.0,5354.0,6,5710.617188,0.0,5710.617188,5710.617188,5710.617188,6,90.37885616666667,5.130341013319773,89.1328705,83.387879,96.750926,6,713.4166666666666,46.29926205315445,704.95,648.5,787.2,6,6957.4635415,62.93493433377515,6944.8417965,6896.058594,7029.070312,6,7204.379557166667,40.95644477426766,7186.550781,7170.949219,7274.984375,6,162.79918899999998,23.290205050465538,161.968819,128.936957,193.659178
