experiment_id,metric,warmup_count_configured,warmup_observations,steady_state_observations,warmup_mean,steady_state_mean,absolute_difference,warmup_to_steady_ratio,percent_difference_from_steady
20260723_200342,generation_total_seconds,1,1,35,4.981113,4.290684914285715,0.6904280857142844,1.1609132573253103,16.091325732531033
20260723_200342,inference_seconds,1,1,35,4.768236,4.093457000000001,0.6747789999999991,1.164843309701311,16.48433097013109
20260723_200342,image_save_seconds,1,1,35,0.212866,0.19722162857142858,0.01564437142857142,1.0793238122101068,7.9323812210106714
20260723_200342,gpu_energy_j,1,1,35,149.03,150.1458,-1.1158000000000072,0.9925685566962246,-0.7431443303775445
20260723_200342,gpu_energy_wh,1,1,35,0.041397222,0.041707166542857145,-0.0003099445428571476,0.9925685543145527,-0.7431445685447298
20260723_200342,gpu_power_mean_w,1,1,35,27.070154,31.90476957142857,-4.8346155714285715,0.8484673095474077,-15.15326904525923
20260723_200342,gpu_power_max_w,1,1,35,35.111,35.27131428571428,-0.16031428571428563,0.9954548252890248,-0.4545174710975165
20260723_200342,gpu_utilization_mean_percent,1,1,35,73.961538,86.17623754285714,-12.214699542857133,0.8582590759223792,-14.174092407762085
20260723_200342,gpu_utilization_max_percent,1,1,35,99.0,99.31428571428572,-0.3142857142857167,0.9968354430379747,-0.31645569620253405
20260723_200342,gpu_temperature_max_c,1,1,35,59.0,66.54285714285714,-7.5428571428571445,0.8866466294547015,-11.335337054529843
20260723_200342,torch_peak_allocated_vram_mb,1,1,35,3969.75293,3969.7529299999997,4.547473508864641e-13,1.0000000000000002,1.1455306133786624e-14
20260723_200342,torch_peak_reserved_vram_mb,1,1,35,4450.0,4450.0,0.0,1.0,0.0
20260723_200342,nvml_peak_used_vram_mb,1,1,35,4806.617188,4806.617188,0.0,1.0,0.0
20260723_200342,process_cpu_mean_percent,1,1,35,106.530769,105.27232765714287,1.2584413428571395,1.011954151398226,1.1954151398225996
20260723_200342,process_cpu_max_percent,1,1,35,456.0,223.2257142857143,232.7742857142857,2.042775409899013,104.2775409899013
20260723_200342,process_rss_peak_mb,1,1,35,1931.863281,1931.8632809999997,2.2737367544323206e-13,1.0000000000000002,1.1769656666673405e-14
20260723_200342,system_ram_used_peak_mb,1,1,35,1895.644531,1857.1898437714285,38.4546872285714,1.0207058461780518,2.0705846178051877
20260723_200342,images_per_hour,1,1,35,722.730071,840.9075492571428,-118.17747825714287,0.8594643628047569,-14.053563719524313
