experiment_id,metric_a,metric_b,observations,pearson_correlation,spearman_correlation
20260723_200342,gpu_power_mean_w,gpu_temperature_max_c,36,0.5610846041255639,0.3820402945262564
20260723_200342,gpu_power_mean_w,process_cpu_mean_percent,36,0.07845503405435354,0.12149292149292151
20260723_200342,gpu_power_mean_w,process_cpu_max_percent,36,-0.4406906543171864,0.11917631917631917
20260723_200342,gpu_power_mean_w,system_ram_used_peak_mb,36,-0.7299195537189628,-0.31108823025998567
20260723_200342,gpu_power_mean_w,images_per_hour,36,0.7128851411510055,0.2712998712998713
20260723_200342,gpu_power_max_w,gpu_utilization_mean_percent,36,0.007320356868727225,-0.3349214774748754
20260723_200342,gpu_power_max_w,gpu_utilization_max_percent,36,-0.25816319183345193,-0.28265833825561054
20260723_200342,gpu_power_max_w,gpu_temperature_max_c,36,-0.08716123625401563,-0.22871733844870598
20260723_200342,gpu_power_max_w,process_cpu_mean_percent,36,-0.014682799086912326,0.04363215145144193
20260723_200342,gpu_power_max_w,process_cpu_max_percent,36,0.12909677122891153,0.17645923197618552
20260723_200342,gpu_power_max_w,system_ram_used_peak_mb,36,-0.09184997399332134,-0.19655039258591836
20260723_200342,gpu_power_max_w,images_per_hour,36,0.20067798681211058,0.05315657389216967
20260723_200342,gpu_utilization_mean_percent,gpu_utilization_max_percent,36,-0.18612747301195295,-0.033938034047946146
20260723_200342,gpu_utilization_mean_percent,gpu_temperature_max_c,36,0.4735416637338202,0.4030189495530157
20260723_200342,gpu_utilization_mean_percent,process_cpu_mean_percent,36,0.19170298242420591,0.10558167556380738
20260723_200342,gpu_utilization_mean_percent,process_cpu_max_percent,36,-0.20784927072819534,-0.10918690350988859
20260723_200342,gpu_utilization_mean_percent,system_ram_used_peak_mb,36,-0.4856010025339927,-0.22559878067511793
20260723_200342,gpu_utilization_mean_percent,images_per_hour,36,0.8980850650698072,0.5100109962295623
20260723_200342,gpu_utilization_max_percent,gpu_temperature_max_c,36,0.03764991969866575,0.04802507263122815
20260723_200342,gpu_utilization_max_percent,process_cpu_mean_percent,36,0.12938348094900654,0.09895367885578579
20260723_200342,gpu_utilization_max_percent,process_cpu_max_percent,36,-0.11886011389255523,-0.1601331240166234
20260723_200342,gpu_utilization_max_percent,system_ram_used_peak_mb,36,-0.04725983472288697,0.09258986447052232
20260723_200342,gpu_utilization_max_percent,images_per_hour,36,-0.21657798328681568,-0.28797298158031076
20260723_200342,gpu_temperature_max_c,process_cpu_mean_percent,36,0.16068345447410262,0.06428186525646566
20260723_200342,gpu_temperature_max_c,process_cpu_max_percent,36,-0.12517503431425295,0.014733977229169616
20260723_200342,gpu_temperature_max_c,system_ram_used_peak_mb,36,-0.5797613037229489,0.09179988954839738
20260723_200342,gpu_temperature_max_c,images_per_hour,36,0.3994818006402944,-0.09818305180145769
20260723_200342,process_cpu_mean_percent,process_cpu_max_percent,36,0.6392903254954015,0.7498069498069498
20260723_200342,process_cpu_mean_percent,system_ram_used_peak_mb,36,-0.13495932117856163,-0.23077418157060586
20260723_200342,process_cpu_mean_percent,images_per_hour,36,0.10089066475287652,-0.20797940797940798
20260723_200342,process_cpu_max_percent,system_ram_used_peak_mb,36,0.25288430264659884,-0.2123688787459563
20260723_200342,process_cpu_max_percent,images_per_hour,36,-0.24192413761724718,-0.2707850707850708
20260723_200342,system_ram_used_peak_mb,images_per_hour,36,-0.40605722382488896,-0.24724885822483764
