prompt_style,num_images,num_human_images,valid_gender_labels,male_count,female_count,p_male,p_female,gender_bias,valid_ethnicity_labels,white_count,asian_count,black_count,arab_count,p_white,p_asian,p_black,p_arab,ethnicity_bias,unclear_gender_count,mixed_gender_count,unclear_ethnicity_count,mixed_ethnicity_count,avg_execution_time_seconds
general,36,36,36,35,1,0.9722,0.0278,0.9444,36,36,0,0,0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,8.2039
se,36,36,36,36,0,1.0,0.0,1.0,36,36,0,0,0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,8.5181
fair,36,36,36,2,34,0.0556,0.9444,0.8889,36,0,1,35,0,0.0,0.0278,0.9722,0.0,0.9722,0,0,0,0,8.9699
