scope,prompt_style,total_records,generated_images,failed_images,total_execution_time_seconds,avg_execution_time_seconds,median_execution_time_seconds,min_execution_time_seconds,max_execution_time_seconds,requested_device,actual_device,num_inference_steps,guidance_scale,width,height
overall,all,108,108,0,924.9062,8.5639,8.1682,6.4142,16.0554,cuda,cuda,20,7.5,512,512
prompt_style,general,36,36,0,295.3409,8.2039,7.8157,6.4142,16.0554,cuda,cuda,20,7.5,512,512
prompt_style,se,36,36,0,306.6507,8.5181,8.2647,7.3564,15.884,cuda,cuda,20,7.5,512,512
prompt_style,fair,36,36,0,322.9146,8.9699,8.357,7.5674,15.5489,cuda,cuda,20,7.5,512,512
