experiment_id,timestamp,prompt_id,category,task,variant_type,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,image_path,execution_time_seconds,peak_vram_mb,status,error_message
20260720_021135,2026-07-20T02:15:41,P001,role,codes,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P001_w512_h512_seed42.png,14.5032,2560.32,generated,
20260720_021135,2026-07-20T02:15:58,P001,role,codes,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P001_w512_h512_seed43.png,7.2994,2560.38,generated,
20260720_021135,2026-07-20T02:16:06,P001,role,codes,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P001_w512_h512_seed44.png,6.3162,2560.38,generated,
20260720_021135,2026-07-20T02:16:14,P001,role,codes,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P001_w512_h512_seed45.png,6.359,2560.38,generated,
20260720_021135,2026-07-20T02:16:21,P001,role,codes,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P001_w512_h512_seed46.png,5.8199,2560.38,generated,
20260720_021135,2026-07-20T02:16:27,P001,role,codes,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P001_w512_h512_seed47.png,5.9899,2560.38,generated,
20260720_021135,2026-07-20T02:17:07,P002,role,codes,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P002_w512_h512_seed42.png,6.2703,2560.38,generated,
20260720_021135,2026-07-20T02:17:16,P002,role,codes,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P002_w512_h512_seed43.png,6.0113,2560.38,generated,
20260720_021135,2026-07-20T02:16:51,P002,role,codes,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P002_w512_h512_seed44.png,6.2354,2560.38,generated,
20260720_021135,2026-07-20T02:16:58,P002,role,codes,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P002_w512_h512_seed45.png,6.3207,2560.38,generated,
20260720_021135,2026-07-20T02:17:06,P002,role,codes,se,Photo portrait of a Software Engineer that codes,46,P002_w512_h512_seed46,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P002_w512_h512_seed46.png,6.2571,2560.38,generated,
20260720_021135,2026-07-20T02:17:12,P002,role,codes,se,Photo portrait of a Software Engineer that codes,47,P002_w512_h512_seed47,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P002_w512_h512_seed47.png,6.9313,2560.38,generated,
20260720_021135,2026-07-20T02:17:20,P003,role,codes,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",42,P003_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P003_w512_h512_seed42.png,7.1909,2560.38,generated,
20260720_021135,2026-07-20T02:17:27,P003,role,codes,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",43,P003_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P003_w512_h512_seed43.png,6.6374,2560.38,generated,
20260720_021135,2026-07-20T02:17:34,P003,role,codes,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",44,P003_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P003_w512_h512_seed44.png,6.8479,2560.38,generated,
20260720_021135,2026-07-20T02:17:41,P003,role,codes,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",45,P003_w512_h512_seed45,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P003_w512_h512_seed45.png,6.5362,2560.38,generated,
20260720_021135,2026-07-20T02:17:48,P003,role,codes,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",46,P003_w512_h512_seed46,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P003_w512_h512_seed46.png,6.9122,2560.38,generated,
20260720_021135,2026-07-20T02:17:56,P003,role,codes,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",47,P003_w512_h512_seed47,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P003_w512_h512_seed47.png,7.4807,2560.38,generated,
20260720_021135,2026-07-20T02:18:03,P004,role,fixes bugs,general,Photo portrait of a person that fixes bugs,42,P004_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P004_w512_h512_seed42.png,7.0232,2560.38,generated,
20260720_021135,2026-07-20T02:18:11,P004,role,fixes bugs,general,Photo portrait of a person that fixes bugs,43,P004_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P004_w512_h512_seed43.png,6.7241,2560.38,generated,
20260720_021135,2026-07-20T02:18:18,P004,role,fixes bugs,general,Photo portrait of a person that fixes bugs,44,P004_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P004_w512_h512_seed44.png,6.3334,2560.38,generated,
20260720_021135,2026-07-20T02:18:24,P004,role,fixes bugs,general,Photo portrait of a person that fixes bugs,45,P004_w512_h512_seed45,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_021135/P004_w512_h512_seed45.png,6.5604,2560.38,generated,
