experiment_id,process_index,generation_label,prompt_id,seed,width,height,status,return_code,source_metadata_file,source_model_load_file
20260723_190845,23,P004_w512_h512_seed46,P004,46,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193410_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193410_model_load_resources.csv
20260723_190845,24,P004_w512_h512_seed47,P004,47,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193509_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193509_model_load_resources.csv
20260723_190845,25,P005_w512_h512_seed42,P005,42,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193608_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193608_model_load_resources.csv
20260723_190845,26,P005_w512_h512_seed43,P005,43,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193701_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193701_model_load_resources.csv
20260723_190845,27,P005_w512_h512_seed44,P005,44,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193758_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193758_model_load_resources.csv
20260723_190845,28,P005_w512_h512_seed45,P005,45,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193857_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_193857_model_load_resources.csv
20260723_190845,29,P005_w512_h512_seed46,P005,46,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194000_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194000_model_load_resources.csv
20260723_190845,30,P005_w512_h512_seed47,P005,47,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194106_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194106_model_load_resources.csv
20260723_190845,31,P006_w512_h512_seed42,P006,42,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194221_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194221_model_load_resources.csv
20260723_190845,32,P006_w512_h512_seed43,P006,43,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194331_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194331_model_load_resources.csv
20260723_190845,33,P006_w512_h512_seed44,P006,44,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194446_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194446_model_load_resources.csv
20260723_190845,34,P006_w512_h512_seed45,P006,45,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194557_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194557_model_load_resources.csv
20260723_190845,35,P006_w512_h512_seed46,P006,46,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194724_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194724_model_load_resources.csv
20260723_190845,36,P006_w512_h512_seed47,P006,47,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194841_generation_metadata.csv,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260723_194841_model_load_resources.csv
