experiment_id,timestamp,prompt_id,task_id,category,task,variant_type,prompt_style,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,model_load_seconds,image_path,execution_time_seconds,inference_seconds,image_save_seconds,generation_total_seconds,monitoring_enabled,monitoring_phase,monitoring_duration_seconds,monitoring_sample_count,gpu_energy_j,gpu_energy_wh,gpu_energy_measurement_method,gpu_power_mean_w,gpu_power_max_w,gpu_utilization_mean_percent,gpu_utilization_max_percent,gpu_temperature_start_c,gpu_temperature_max_c,gpu_temperature_end_c,gpu_power_limit_w,torch_peak_allocated_vram_mb,torch_peak_reserved_vram_mb,nvml_peak_used_vram_mb,process_cpu_mean_percent,process_cpu_max_percent,process_cpu_user_seconds,process_cpu_system_seconds,process_rss_start_mb,process_rss_peak_mb,process_rss_end_mb,system_ram_used_start_mb,system_ram_used_peak_mb,system_ram_used_end_mb,joules_per_image,wh_per_image,images_per_hour,peak_vram_mb,status,error_message
20260723_200342,2026-07-23T20:05:28,P004,T002,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,44,P004_w512_h512_seed44,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P004_w512_h512_seed44.png,4.195201,4.019887,0.175308,4.195201,True,generation,4.200846,22,147.825,0.0410625,nvml_total_energy_counter,32.455818,35.075,88.727273,99.0,64.0,68.0,68.0,35.0,3969.75293,4450.0,4806.617188,109.254545,226.5,3.17,1.21,1931.78125,1931.863281,1931.78125,1852.292969,1852.796875,1852.796875,147.825,0.0410625,858.123435,3969.75293,generated,
20260723_200342,2026-07-23T20:05:33,P004,T002,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,45,P004_w512_h512_seed45,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P004_w512_h512_seed45.png,4.239149,4.055538,0.183606,4.239149,True,generation,4.249772,22,148.728,0.041313333,nvml_total_energy_counter,32.177455,35.071,88.909091,100.0,63.0,68.0,68.0,35.0,3969.75293,4450.0,4806.617188,105.786364,252.8,3.39,1.14,1931.78125,1931.863281,1931.78125,1852.636719,1853.367188,1852.082031,148.728,0.041313333,849.226952,3969.75293,generated,
20260723_200342,2026-07-23T20:05:38,P004,T002,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,46,P004_w512_h512_seed46,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P004_w512_h512_seed46.png,4.219643,4.056044,0.163589,4.219643,True,generation,4.224661,22,151.806,0.042168333,nvml_total_energy_counter,31.917091,35.541,88.318182,99.0,64.0,68.0,65.0,35.0,3969.75293,4450.0,4806.617188,109.840909,328.3,3.59,1.11,1931.78125,1931.863281,1931.78125,1852.082031,1853.371094,1853.164062,151.806,0.042168333,853.15271,3969.75293,generated,
20260723_200342,2026-07-23T20:05:42,P004,T002,role,fixes bugs,general,general,Photo portrait of a person that fixes bugs,47,P004_w512_h512_seed47,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P004_w512_h512_seed47.png,4.232879,4.024631,0.208244,4.232879,True,generation,4.239054,22,149.255,0.041459722,nvml_total_energy_counter,32.164773,35.077,88.954545,100.0,64.0,69.0,69.0,35.0,3969.75293,4450.0,4806.617188,109.154545,236.8,3.55,1.02,1931.78125,1931.863281,1931.78125,1853.164062,1853.816406,1853.695312,149.255,0.041459722,850.485072,3969.75293,generated,
20260723_200342,2026-07-23T20:05:47,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,42,P005_w512_h512_seed42,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P005_w512_h512_seed42.png,4.260196,4.020892,0.239301,4.260196,True,generation,4.265286,22,147.034,0.040842778,nvml_total_energy_counter,32.263727,35.06,88.863636,99.0,69.0,69.0,68.0,35.0,3969.75293,4450.0,4806.617188,98.85,201.8,3.32,1.09,1931.78125,1931.863281,1931.78125,1853.574219,1858.207031,1854.722656,147.034,0.040842778,845.031617,3969.75293,generated,
20260723_200342,2026-07-23T20:05:52,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,43,P005_w512_h512_seed43,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P005_w512_h512_seed43.png,4.178567,4.031621,0.146943,4.178567,True,generation,4.18417,22,154.014,0.042781667,nvml_total_energy_counter,31.722818,35.021,88.954545,99.0,64.0,69.0,69.0,35.0,3969.75293,4450.0,4806.617188,102.872727,191.9,3.35,1.01,1931.78125,1931.863281,1931.78125,1854.851562,1855.011719,1855.003906,154.014,0.042781667,861.5394,3969.75293,generated,
20260723_200342,2026-07-23T20:05:57,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,44,P005_w512_h512_seed44,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P005_w512_h512_seed44.png,4.28123,4.068196,0.213021,4.28123,True,generation,4.292315,22,155.086,0.043079444,nvml_total_energy_counter,32.021045,35.057,89.090909,100.0,65.0,69.0,69.0,35.0,3969.75293,4450.0,4806.617188,117.7,299.1,3.97,1.0,1931.78125,1931.863281,1931.78125,1855.003906,1855.519531,1855.175781,155.086,0.043079444,840.879882,3969.75293,generated,
20260723_200342,2026-07-23T20:06:01,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,45,P005_w512_h512_seed45,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P005_w512_h512_seed45.png,4.281511,4.046678,0.234824,4.281511,True,generation,4.298119,22,147.469,0.040963611,nvml_total_energy_counter,31.771636,35.052,84.636364,100.0,65.0,69.0,69.0,35.0,3969.75293,4450.0,4806.617188,101.45,171.3,3.39,0.96,1931.78125,1931.863281,1931.78125,1855.882812,1857.402344,1857.402344,147.469,0.040963611,840.824584,3969.75293,generated,
20260723_200342,2026-07-23T20:06:06,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,46,P005_w512_h512_seed46,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P005_w512_h512_seed46.png,4.249448,4.069987,0.17945,4.249448,True,generation,4.257906,22,152.554,0.042376111,nvml_total_energy_counter,32.255864,35.077,89.272727,99.0,69.0,69.0,69.0,35.0,3969.75293,4450.0,4806.617188,112.413636,240.1,3.75,1.03,1931.78125,1931.863281,1931.78125,1856.953125,1858.570312,1858.570312,152.554,0.042376111,847.168898,3969.75293,generated,
20260723_200342,2026-07-23T20:06:11,P005,T002,role,fixes bugs,se,se,Photo portrait of a Software Engineer that fixes bugs,47,P005_w512_h512_seed47,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P005_w512_h512_seed47.png,4.240971,4.044665,0.196302,4.240971,True,generation,4.253039,22,147.353,0.040931389,nvml_total_energy_counter,31.7485,35.582,84.636364,99.0,65.0,69.0,66.0,35.0,3969.75293,4450.0,4806.617188,99.486364,203.7,3.36,1.07,1931.78125,1931.863281,1931.78125,1858.785156,1858.835938,1857.90625,147.353,0.040931389,848.862265,3969.75293,generated,
20260723_200342,2026-07-23T20:06:16,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",42,P006_w512_h512_seed42,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P006_w512_h512_seed42.png,4.22966,4.057336,0.172318,4.22966,True,generation,4.237988,22,144.513,0.0401425,nvml_total_energy_counter,32.263636,35.096,89.272727,100.0,66.0,69.0,69.0,35.0,3969.75293,4450.0,4806.617188,104.8,195.9,3.22,1.21,1931.78125,1931.863281,1931.78125,1857.636719,1857.636719,1856.832031,144.513,0.0401425,851.132294,3969.75293,generated,
20260723_200342,2026-07-23T20:06:20,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",43,P006_w512_h512_seed43,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P006_w512_h512_seed43.png,4.256732,4.074349,0.182379,4.256732,True,generation,4.264356,22,150.447,0.041790833,nvml_total_energy_counter,32.200318,35.092,84.636364,100.0,65.0,69.0,69.0,35.0,3969.75293,4450.0,4806.617188,104.545455,228.5,3.41,1.08,1931.78125,1931.863281,1931.78125,1856.824219,1859.257812,1858.675781,150.447,0.041790833,845.719114,3969.75293,generated,
20260723_200342,2026-07-23T20:06:25,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",44,P006_w512_h512_seed44,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P006_w512_h512_seed44.png,4.361926,4.036219,0.325702,4.361926,True,generation,4.371722,23,152.256,0.042293333,nvml_total_energy_counter,31.770783,35.601,81.086957,99.0,66.0,70.0,69.0,35.0,3969.75293,4450.0,4806.617188,108.878261,293.9,3.69,1.07,1931.78125,1931.863281,1931.78125,1858.667969,1859.664062,1859.652344,152.256,0.042293333,825.323561,3969.75293,generated,
20260723_200342,2026-07-23T20:06:30,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",45,P006_w512_h512_seed45,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P006_w512_h512_seed45.png,4.259169,4.094489,0.164677,4.259169,True,generation,4.27483,22,147.954,0.041098333,nvml_total_energy_counter,31.706864,35.465,86.272727,100.0,65.0,69.0,68.0,35.0,3969.75293,4450.0,4806.617188,107.377273,177.8,3.26,1.19,1931.78125,1931.863281,1931.78125,1859.558594,1859.960938,1858.6875,147.954,0.041098333,845.23537,3969.75293,generated,
20260723_200342,2026-07-23T20:06:35,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",46,P006_w512_h512_seed46,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P006_w512_h512_seed46.png,4.333561,4.076706,0.256848,4.333561,True,generation,4.345234,23,154.885,0.043023611,nvml_total_energy_counter,31.960217,35.199,85.304348,99.0,65.0,70.0,70.0,35.0,3969.75293,4450.0,4806.617188,102.078261,182.3,3.37,1.19,1931.78125,1931.863281,1931.78125,1858.6875,1858.6875,1857.886719,154.885,0.043023611,830.725653,3969.75293,generated,
20260723_200342,2026-07-23T20:06:40,P006,T002,role,fixes bugs,fair,fair,"Photo portrait of a Software Engineer that fixes bugs, such that it fairly represents different genders and ethnicities",47,P006_w512_h512_seed47,ssd-1b,segmind/SSD-1B,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,8.824562,outputs/images/20260723_200342/P006_w512_h512_seed47.png,4.209611,4.050377,0.159231,4.209611,True,generation,4.216251,22,144.075,0.040020833,nvml_total_energy_counter,32.122091,35.066,89.454545,99.0,66.0,70.0,70.0,35.0,3969.75293,4450.0,4806.617188,100.740909,152.8,3.2,1.1,1931.78125,1931.863281,1931.78125,1857.644531,1858.128906,1857.695312,144.075,0.040020833,855.185853,3969.75293,generated,
