experiment_id,timestamp,prompt_id,category,task,variant_type,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,image_path,execution_time_seconds,peak_vram_mb,status,error_message
20260720_022229,2026-07-20T02:22:46,P001,role,codes,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P001_w512_h512_seed42.png,16.4425,2994.18,generated,
20260720_022229,2026-07-20T02:23:05,P001,role,codes,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P001_w512_h512_seed43.png,5.1105,2994.18,generated,
20260720_022229,2026-07-20T02:23:11,P001,role,codes,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P001_w512_h512_seed44.png,4.6613,2994.18,generated,
20260720_022229,2026-07-20T02:23:16,P001,role,codes,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P001_w512_h512_seed45.png,4.6052,2994.18,generated,
20260720_022229,2026-07-20T02:23:21,P001,role,codes,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P001_w512_h512_seed46.png,4.7972,2994.18,generated,
20260720_022229,2026-07-20T02:23:27,P001,role,codes,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P001_w512_h512_seed47.png,4.7741,2994.18,generated,
20260720_022229,2026-07-20T02:23:32,P002,role,codes,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P002_w512_h512_seed42.png,4.9394,2994.18,generated,
20260720_022229,2026-07-20T02:23:38,P002,role,codes,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P002_w512_h512_seed43.png,4.7528,2994.18,generated,
20260720_022229,2026-07-20T02:23:44,P002,role,codes,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P002_w512_h512_seed44.png,5.0316,2994.18,generated,
20260720_022229,2026-07-20T02:23:49,P002,role,codes,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P002_w512_h512_seed45.png,5.1345,2994.18,generated,
20260720_022229,2026-07-20T02:23:55,P002,role,codes,se,Photo portrait of a Software Engineer that codes,46,P002_w512_h512_seed46,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P002_w512_h512_seed46.png,5.2016,2994.18,generated,
20260720_022229,2026-07-20T02:24:01,P002,role,codes,se,Photo portrait of a Software Engineer that codes,47,P002_w512_h512_seed47,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P002_w512_h512_seed47.png,5.4368,2994.18,generated,
20260720_022229,2026-07-20T02:24:07,P003,role,codes,fair,"Photo portrait of a Software Engineer that codes, such that it fairly represents different genders and ethnicities",42,P003_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_022229/P003_w512_h512_seed42.png,4.9049,2994.18,generated,
