experiment_id,timestamp,prompt_id,task_id,category,task,variant_type,prompt_style,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,model_load_seconds,image_path,execution_time_seconds,inference_seconds,image_save_seconds,generation_total_seconds,monitoring_enabled,monitoring_phase,monitoring_duration_seconds,monitoring_sample_count,gpu_energy_j,gpu_energy_wh,gpu_energy_measurement_method,gpu_power_mean_w,gpu_power_max_w,gpu_utilization_mean_percent,gpu_utilization_max_percent,gpu_temperature_start_c,gpu_temperature_max_c,gpu_temperature_end_c,gpu_power_limit_w,torch_peak_allocated_vram_mb,torch_peak_reserved_vram_mb,nvml_peak_used_vram_mb,process_cpu_mean_percent,process_cpu_max_percent,process_cpu_user_seconds,process_cpu_system_seconds,process_rss_start_mb,process_rss_peak_mb,process_rss_end_mb,system_ram_used_start_mb,system_ram_used_peak_mb,system_ram_used_end_mb,joules_per_image,wh_per_image,images_per_hour,peak_vram_mb,status,error_message
20260723_195347,2026-07-23T19:53:55,P001,T001,role,codes,general,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.477144,outputs/images/20260723_195347/P001_w512_h512_seed42.png,6.308005,6.031905,0.276081,6.308005,True,generation,6.313095,30,202.893,0.056359167,nvml_total_energy_counter,27.4803,35.384,69.6,99.0,44.0,51.0,46.0,35.0,2994.414062,3222.0,3578.617188,107.286667,386.4,6.08,0.89,1269.597656,1948.757812,1948.675781,1260.910156,1873.898438,1873.089844,202.893,0.056359167,570.703423,2994.414062,generated,
20260723_195347,2026-07-23T19:54:02,P001,T001,role,codes,general,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.477144,outputs/images/20260723_195347/P001_w512_h512_seed43.png,5.256885,5.037754,0.219122,5.256885,True,generation,5.271345,25,179.748,0.04993,nvml_total_energy_counter,31.80256,34.96,84.72,99.0,46.0,51.0,51.0,35.0,2994.414062,3222.0,3578.617188,105.356,190.2,5.0,0.56,1948.679688,1948.761719,1948.679688,1873.027344,1873.535156,1869.085938,179.748,0.04993,684.816171,2994.414062,generated,
20260723_195347,2026-07-23T19:54:08,P001,T001,role,codes,general,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.477144,outputs/images/20260723_195347/P001_w512_h512_seed44.png,5.168763,4.996887,0.171873,5.168763,True,generation,5.178961,25,177.165,0.0492125,nvml_total_energy_counter,31.96432,34.873,90.32,99.0,47.0,52.0,52.0,35.0,2994.414062,3222.0,3578.617188,106.148,226.8,4.94,0.59,1948.679688,1948.761719,1948.679688,1868.042969,1870.226562,1868.367188,177.165,0.0492125,696.491665,2994.414062,generated,
20260723_195347,2026-07-23T19:54:13,P001,T001,role,codes,general,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.477144,outputs/images/20260723_195347/P001_w512_h512_seed45.png,5.236397,5.013801,0.222588,5.236397,True,generation,5.2499,25,178.723,0.049645278,nvml_total_energy_counter,32.3238,35.45,86.84,99.0,49.0,53.0,53.0,35.0,2994.414062,3222.0,3578.617188,108.616,383.7,5.31,0.61,1948.679688,1948.761719,1948.679688,1868.367188,1868.730469,1864.59375,178.723,0.049645278,687.495671,2994.414062,generated,
20260723_195347,2026-07-23T19:54:19,P001,T001,role,codes,general,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.477144,outputs/images/20260723_195347/P001_w512_h512_seed46.png,5.189631,5.045542,0.144084,5.189631,True,generation,5.195584,24,181.614,0.050448333,nvml_total_energy_counter,32.287,35.301,87.583333,99.0,49.0,54.0,53.0,35.0,2994.414062,3222.0,3578.617188,107.879167,230.4,4.96,0.58,1948.679688,1948.761719,1948.679688,1864.523438,1864.523438,1862.769531,181.614,0.050448333,693.690967,2994.414062,generated,
20260723_195347,2026-07-23T19:54:25,P001,T001,role,codes,general,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.477144,outputs/images/20260723_195347/P001_w512_h512_seed47.png,5.227128,5.066598,0.160526,5.227128,True,generation,5.239822,24,185.254,0.051459444,nvml_total_energy_counter,32.407958,35.144,87.166667,99.0,50.0,55.0,54.0,35.0,2994.414062,3222.0,3578.617188,109.920833,247.0,4.93,0.74,1948.679688,1948.761719,1948.679688,1862.761719,1862.761719,1862.734375,185.254,0.051459444,688.714729,2994.414062,generated,
20260723_195347,2026-07-23T19:54:30,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.477144,outputs/images/20260723_195347/P002_w512_h512_seed42.png,5.208314,5.041988,0.166322,5.208314,True,generation,5.213948,24,182.485,0.050690278,nvml_total_energy_counter,32.478292,34.848,87.791667,100.0,54.0,55.0,55.0,35.0,2994.414062,3222.0,3578.617188,108.866667,226.4,5.02,0.64,1948.679688,1948.761719,1948.679688,1862.734375,1862.734375,1862.230469,182.485,0.050690278,691.202539,2994.414062,generated,
20260723_195347,2026-07-23T19:54:36,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.477144,outputs/images/20260723_195347/P002_w512_h512_seed43.png,5.267525,5.111063,0.156456,5.267525,True,generation,5.273548,24,188.655,0.052404167,nvml_total_energy_counter,32.269208,34.885,87.375,100.0,52.0,56.0,56.0,35.0,2994.414062,3222.0,3578.617188,107.395833,226.5,4.98,0.64,1948.679688,1948.761719,1948.679688,1862.109375,1862.355469,1862.328125,188.655,0.052404167,683.432937,2994.414062,generated,
20260723_195347,2026-07-23T19:54:42,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.477144,outputs/images/20260723_195347/P002_w512_h512_seed44.png,5.297051,5.144247,0.1528,5.297051,True,generation,5.307237,24,187.203,0.052000833,nvml_total_energy_counter,32.318208,34.999,88.333333,100.0,52.0,57.0,56.0,35.0,2994.414062,3222.0,3578.617188,106.683333,210.8,5.11,0.62,1948.679688,1948.761719,1948.679688,1862.328125,1862.566406,1862.566406,187.203,0.052000833,679.623415,2994.414062,generated,
20260723_195347,2026-07-23T19:54:48,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,stable-diffusion,runwayml/stable-diffusion-v1-5,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,7.477144,outputs/images/20260723_195347/P002_w512_h512_seed45.png,5.397187,5.226557,0.170619,5.397187,True,generation,5.40287,25,190.034,0.052787222,nvml_total_energy_counter,32.393,35.109,84.92,99.0,54.0,57.0,57.0,35.0,2994.414062,3222.0,3578.617188,117.312,512.7,5.72,0.59,1948.679688,1948.761719,1948.679688,1862.566406,1863.273438,1863.265625,190.034,0.052787222,667.014152,2994.414062,generated,
