experiment_id,timestamp,prompt_id,category,task,variant_type,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,image_path,execution_time_seconds,peak_vram_mb,status,error_message
20260720_005537,2026-07-20T00:56:15,P001,role,codes,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,outputs/images/20260720_005537/P001_w512_h512_seed42.png,9.1686,5240.13,generated,
20260720_005537,2026-07-20T00:56:27,P001,role,codes,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,outputs/images/20260720_005537/P001_w512_h512_seed43.png,4.6414,5240.13,generated,
20260720_005537,2026-07-20T00:56:33,P001,role,codes,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,outputs/images/20260720_005537/P001_w512_h512_seed44.png,4.5557,5240.13,generated,
20260720_005537,2026-07-20T00:56:38,P001,role,codes,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,outputs/images/20260720_005537/P001_w512_h512_seed45.png,4.4948,5240.13,generated,
20260720_005537,2026-07-20T00:56:43,P001,role,codes,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,outputs/images/20260720_005537/P001_w512_h512_seed46.png,4.6122,5240.13,generated,
20260720_005537,2026-07-20T00:56:49,P001,role,codes,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,outputs/images/20260720_005537/P001_w512_h512_seed47.png,4.5816,5240.13,generated,
20260720_005537,2026-07-20T00:56:54,P002,role,codes,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,outputs/images/20260720_005537/P002_w512_h512_seed42.png,4.7121,5240.13,generated,
20260720_005537,2026-07-20T00:56:59,P002,role,codes,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,outputs/images/20260720_005537/P002_w512_h512_seed43.png,4.702,5240.13,generated,
20260720_005537,2026-07-20T00:57:05,P002,role,codes,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,outputs/images/20260720_005537/P002_w512_h512_seed44.png,4.6608,5240.13,generated,
20260720_005537,2026-07-20T00:57:10,P002,role,codes,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15,5.0,512,512,512x512,outputs/images/20260720_005537/P002_w512_h512_seed45.png,4.6616,5240.13,generated,
