experiment_id,process_index,generation_label,prompt_id,seed,width,height,status,return_code,source_metadata_file
20260720_032300,1,P001_w512_h512_seed42,P001,42,512,512,completed,0,legacy_image_recovery
20260720_032300,2,P001_w512_h512_seed43,P001,43,512,512,completed,0,legacy_image_recovery
20260720_032300,3,P001_w512_h512_seed44,P001,44,512,512,completed,0,legacy_image_recovery
20260720_032300,4,P001_w512_h512_seed45,P001,45,512,512,completed,0,legacy_image_recovery
20260720_032300,5,P001_w512_h512_seed46,P001,46,512,512,completed,0,legacy_image_recovery
20260720_032300,6,P001_w512_h512_seed47,P001,47,512,512,completed,0,legacy_image_recovery
20260720_032300,7,P002_w512_h512_seed42,P002,42,512,512,completed,0,legacy_image_recovery
20260720_032300,8,P002_w512_h512_seed43,P002,43,512,512,completed,0,legacy_image_recovery
20260720_032300,9,P002_w512_h512_seed44,P002,44,512,512,completed,0,legacy_image_recovery
20260720_032300,10,P002_w512_h512_seed45,P002,45,512,512,completed,0,legacy_image_recovery
20260720_032300,11,P002_w512_h512_seed46,P002,46,512,512,completed,0,legacy_image_recovery
20260720_032300,12,P002_w512_h512_seed47,P002,47,512,512,completed,0,legacy_image_recovery
20260720_032300,13,P003_w512_h512_seed42,P003,42,512,512,completed,0,legacy_image_recovery
20260720_032300,14,P003_w512_h512_seed43,P003,43,512,512,completed,0,legacy_image_recovery
20260720_032300,15,P003_w512_h512_seed44,P003,44,512,512,completed,0,legacy_image_recovery
20260720_032300,16,P003_w512_h512_seed45,P003,45,512,512,completed,0,legacy_image_recovery
20260720_032300,17,P003_w512_h512_seed46,P003,46,512,512,completed,0,legacy_image_recovery
20260720_032300,18,P003_w512_h512_seed47,P003,47,512,512,completed,0,legacy_image_recovery
20260720_032300,19,P004_w512_h512_seed42,P004,42,512,512,completed,0,legacy_image_recovery
20260720_032300,20,P004_w512_h512_seed43,P004,43,512,512,completed,0,legacy_image_recovery
20260720_032300,21,P004_w512_h512_seed44,P004,44,512,512,completed,0,legacy_image_recovery
20260720_032300,22,P004_w512_h512_seed45,P004,45,512,512,completed,0,legacy_image_recovery
20260720_032300,23,P004_w512_h512_seed46,P004,46,512,512,completed,0,legacy_image_recovery
20260720_032300,24,P004_w512_h512_seed47,P004,47,512,512,completed,0,legacy_image_recovery
20260720_032300,25,P005_w512_h512_seed42,P005,42,512,512,completed,0,legacy_image_recovery
20260720_032300,26,P005_w512_h512_seed43,P005,43,512,512,completed,0,legacy_image_recovery
20260720_032300,27,P005_w512_h512_seed44,P005,44,512,512,completed,0,legacy_image_recovery
20260720_032300,28,P005_w512_h512_seed45,P005,45,512,512,completed,0,legacy_image_recovery
20260720_032300,29,P005_w512_h512_seed46,P005,46,512,512,completed,0,legacy_image_recovery
20260720_032300,30,P005_w512_h512_seed47,P005,47,512,512,completed,0,legacy_image_recovery
20260720_032300,31,P006_w512_h512_seed42,P006,42,512,512,completed,0,legacy_image_recovery
20260720_032300,32,P006_w512_h512_seed43,P006,43,512,512,completed,0,legacy_image_recovery
20260720_032300,33,P006_w512_h512_seed44,P006,44,512,512,completed,0,legacy_image_recovery
20260720_032300,34,P006_w512_h512_seed45,P006,45,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260720_104825_generation_metadata.csv
20260720_032300,35,P006_w512_h512_seed46,P006,46,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260720_105015_generation_metadata.csv
20260720_032300,36,P006_w512_h512_seed47,P006,47,512,512,completed,0,/mnt/c/Users/lucac/Documents/GitHub/SynthSE/outputs/logs/20260720_105134_generation_metadata.csv
