experiment_id,timestamp,prompt_id,category,task,variant_type,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,image_path,execution_time_seconds,peak_vram_mb,status,error_message
20260720_013659,2026-07-20T01:37:54,P001,role,codes,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_013659/P001_w512_h512_seed42.png,8.6291,3371.04,generated,
20260720_013659,2026-07-20T01:38:04,P001,role,codes,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_013659/P001_w512_h512_seed43.png,2.6796,3371.04,generated,
20260720_013659,2026-07-20T01:37:36,P001,role,codes,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_013659/P001_w512_h512_seed44.png,2.331,3371.04,generated,
20260720_013659,2026-07-20T01:37:40,P001,role,codes,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_013659/P001_w512_h512_seed45.png,2.2605,3371.04,generated,
20260720_013659,2026-07-20T01:37:43,P001,role,codes,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_013659/P001_w512_h512_seed46.png,2.3083,3371.04,generated,
20260720_013659,2026-07-20T01:37:46,P001,role,codes,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_013659/P001_w512_h512_seed47.png,2.2778,3371.04,generated,
20260720_013659,2026-07-20T01:37:49,P002,role,codes,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_013659/P002_w512_h512_seed42.png,2.2681,3371.04,generated,
20260720_013659,2026-07-20T01:37:52,P002,role,codes,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_013659/P002_w512_h512_seed43.png,2.2727,3371.04,generated,
20260720_013659,2026-07-20T01:37:55,P002,role,codes,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_013659/P002_w512_h512_seed44.png,2.2893,3371.04,generated,
20260720_013659,2026-07-20T01:37:58,P002,role,codes,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,segmind-vega,segmind/Segmind-Vega,int8,unet,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,outputs/images/20260720_013659/P002_w512_h512_seed45.png,2.4259,3371.04,generated,
