experiment_id,model_name,quantization,seed,width,height,num_inference_steps,guidance_scale,generation_total_seconds_count,generation_total_seconds_mean,generation_total_seconds_std,generation_total_seconds_median,generation_total_seconds_min,generation_total_seconds_max,inference_seconds_count,inference_seconds_mean,inference_seconds_std,inference_seconds_median,inference_seconds_min,inference_seconds_max,image_save_seconds_count,image_save_seconds_mean,image_save_seconds_std,image_save_seconds_median,image_save_seconds_min,image_save_seconds_max,gpu_energy_j_count,gpu_energy_j_mean,gpu_energy_j_std,gpu_energy_j_median,gpu_energy_j_min,gpu_energy_j_max,gpu_energy_wh_count,gpu_energy_wh_mean,gpu_energy_wh_std,gpu_energy_wh_median,gpu_energy_wh_min,gpu_energy_wh_max,gpu_power_mean_w_count,gpu_power_mean_w_mean,gpu_power_mean_w_std,gpu_power_mean_w_median,gpu_power_mean_w_min,gpu_power_mean_w_max,gpu_power_max_w_count,gpu_power_max_w_mean,gpu_power_max_w_std,gpu_power_max_w_median,gpu_power_max_w_min,gpu_power_max_w_max,gpu_utilization_mean_percent_count,gpu_utilization_mean_percent_mean,gpu_utilization_mean_percent_std,gpu_utilization_mean_percent_median,gpu_utilization_mean_percent_min,gpu_utilization_mean_percent_max,gpu_utilization_max_percent_count,gpu_utilization_max_percent_mean,gpu_utilization_max_percent_std,gpu_utilization_max_percent_median,gpu_utilization_max_percent_min,gpu_utilization_max_percent_max,gpu_temperature_max_c_count,gpu_temperature_max_c_mean,gpu_temperature_max_c_std,gpu_temperature_max_c_median,gpu_temperature_max_c_min,gpu_temperature_max_c_max,torch_peak_allocated_vram_mb_count,torch_peak_allocated_vram_mb_mean,torch_peak_allocated_vram_mb_std,torch_peak_allocated_vram_mb_median,torch_peak_allocated_vram_mb_min,torch_peak_allocated_vram_mb_max,torch_peak_reserved_vram_mb_count,torch_peak_reserved_vram_mb_mean,torch_peak_reserved_vram_mb_std,torch_peak_reserved_vram_mb_median,torch_peak_reserved_vram_mb_min,torch_peak_reserved_vram_mb_max,nvml_peak_used_vram_mb_count,nvml_peak_used_vram_mb_mean,nvml_peak_used_vram_mb_std,nvml_peak_used_vram_mb_median,nvml_peak_used_vram_mb_min,nvml_peak_used_vram_mb_max,process_cpu_mean_percent_count,process_cpu_mean_percent_mean,process_cpu_mean_percent_std,process_cpu_mean_percent_median,process_cpu_mean_percent_min,process_cpu_mean_percent_max,process_cpu_max_percent_count,process_cpu_max_percent_mean,process_cpu_max_percent_std,process_cpu_max_percent_median,process_cpu_max_percent_min,process_cpu_max_percent_max,process_rss_peak_mb_count,process_rss_peak_mb_mean,process_rss_peak_mb_std,process_rss_peak_mb_median,process_rss_peak_mb_min,process_rss_peak_mb_max,system_ram_used_peak_mb_count,system_ram_used_peak_mb_mean,system_ram_used_peak_mb_std,system_ram_used_peak_mb_median,system_ram_used_peak_mb_min,system_ram_used_peak_mb_max,images_per_hour_count,images_per_hour_mean,images_per_hour_std,images_per_hour_median,images_per_hour_min,images_per_hour_max
20260723_195347,stable-diffusion,int8,42,512,512,20,7.5,6,5.589743833333333,0.38132689910123907,5.5133935,5.208314,6.308005,6,5.392329,0.34228088318864675,5.3336334999999995,5.041988,6.031905,6,0.19740766666666665,0.04036359273735016,0.181191,0.166322,0.276081,6,190.28133333333335,7.555924792284969,188.328,182.485,202.893,6,0.05285592583333334,0.0020988681011038708,0.052313333000000004,0.050690278,0.056359167,6,31.499512,1.9739499727399379,32.19334,27.4803,32.478292,6,35.1575,0.27597445533961795,35.092,34.848,35.574,6,82.43861116666666,6.883910634308688,83.66,69.6,88.48,6,99.16666666666667,0.7527726527090817,99.0,98.0,100.0,6,58.833333333333336,5.07608773236502,60.0,51.0,65.0,6,2994.414062,0.0,2994.414062,2994.414062,2994.414062,6,3222.0,0.0,3222.0,3222.0,3222.0,6,3578.617188,0.0,3578.617188,3578.617188,3578.617188,6,113.06022233333333,6.439459220791534,111.50999999999999,107.286667,125.276,6,369.7,138.00504338610236,365.65,226.4,616.8,6,1948.7610678333333,0.0015950260709079096,1948.761719,1948.757812,1948.761719,6,1868.8001303333333,4.989959204411075,1867.251953,1862.734375,1875.761719,6,646.3770410000001,41.238790428041085,653.0302715,570.703423,691.202539
20260723_195347,stable-diffusion,int8,43,512,512,20,7.5,6,5.415225500000001,0.1462724535813226,5.4201685,5.256885,5.649301,6,5.2273415000000005,0.1524478327254934,5.2262059999999995,5.037754,5.471586,6,0.18787883333333333,0.022118035576575667,0.18387,0.156456,0.219122,6,191.56133333333332,7.738604645972454,191.45999999999998,179.748,201.356,6,0.0532114815,0.002149612430201846,0.0531833335,0.04993,0.055932222,6,32.294208000000005,0.3039240625156234,32.289404000000005,31.80256,32.64396,6,35.04083333333333,0.21623359282652474,35.0015,34.803,35.409,6,84.07583333333334,2.7769667204823816,84.88,79.16,87.375,6,99.5,0.5477225575051661,99.5,99.0,100.0,6,59.0,4.857983120596447,60.0,51.0,64.0,6,2994.414062,0.0,2994.414062,2994.414062,2994.414062,6,3222.0,0.0,3222.0,3222.0,3222.0,6,3578.617188,0.0,3578.617188,3578.617188,3578.617188,6,109.2913055,5.490210167159499,107.5059165,105.356,120.268,6,308.98333333333335,182.66841452935063,248.75,190.2,676.2,6,1948.761719,0.0,1948.761719,1948.761719,1948.761719,6,1868.330078,4.61987443287024,1867.580078,1862.355469,1873.945312,6,665.1928458333333,17.802581019736422,664.201742,637.246967,684.816171
20260723_195347,stable-diffusion,int8,44,512,512,20,7.5,6,5.424657333333333,0.17322164498314507,5.4324785,5.168763,5.616663,6,5.218844166666667,0.14819262792381585,5.223678,4.996887,5.43213,6,0.205807,0.0654139235147992,0.1745355,0.1528,0.324206,6,186.34316666666666,5.095859904536896,188.29500000000002,177.165,190.562,6,0.051761990833333334,0.0014155166506071824,0.0523041665,0.0492125,0.052933889,6,32.182567999999996,0.16851187846558383,32.23578,31.96432,32.35744,6,35.05983333333334,0.12205640772473715,35.0625,34.873,35.211,6,85.4355555,3.3230846311042765,84.64,82.24,90.32,6,99.5,0.5477225575051661,99.5,99.0,100.0,6,59.666666666666664,4.718756898449703,60.5,52.0,65.0,6,2994.414062,0.0,2994.414062,2994.414062,2994.414062,6,3222.0,0.0,3222.0,3222.0,3222.0,6,3578.617188,0.0,3578.617188,3578.617188,3578.617188,6,111.58455550000001,6.33602410338546,111.2436665,104.88,119.04,6,369.09999999999997,137.2789860102412,375.25,210.8,516.8,6,1948.761719,0.0,1948.761719,1948.761719,1948.761719,6,1867.8632811666666,4.490173383432005,1866.7226565,1862.566406,1875.394531,6,664.2055838333333,21.396381768316402,662.6849155,640.950022,696.491665
20260723_195347,stable-diffusion,int8,45,512,512,20,7.5,6,5.4885366666666675,0.1692272308544542,5.4729095,5.236397,5.69122,6,5.270395333333333,0.15425015219787172,5.282854,5.013801,5.481845,6,0.21813416666666666,0.058093925711443076,0.2123515,0.164762,0.326133,6,189.42816666666667,7.306704466903437,189.23250000000002,178.723,201.134,6,0.05261893533333334,0.0020296402080182247,0.052564583,0.049645278,0.055870556,6,32.26544,0.1584476695947282,32.294259999999994,31.9642,32.393,6,35.07666666666667,0.21299546161049066,35.0585,34.814,35.45,6,83.71333333333334,2.635440507138542,84.2,79.48,86.84,6,99.0,0.632455532033677,99.0,98.0,100.0,6,60.166666666666664,4.535048695071163,61.0,53.0,65.0,6,2994.414062,0.0,2994.414062,2994.414062,2994.414062,6,3222.0,0.0,3222.0,3222.0,3222.0,6,3578.617188,0.0,3578.617188,3578.617188,3578.617188,6,112.24666666666667,6.1778052629284606,111.49600000000001,105.072,120.74,6,401.59999999999997,146.56507087297433,403.79999999999995,227.8,607.3,6,1948.761719,0.0,1948.761719,1948.761719,1948.761719,6,1875.4225261666668,17.814034858718106,1868.2265625,1863.273438,1910.671875,6,656.4352516666667,20.35023926383784,657.7865075,632.553331,687.495671
20260723_195347,stable-diffusion,int8,46,512,512,20,7.5,6,5.431698333333333,0.15945566239637465,5.4239995,5.189631,5.624991,6,5.246771166666666,0.15341285284019318,5.2111775,5.045542,5.468403,6,0.18492233333333333,0.03946614169470671,0.17508849999999998,0.144084,0.253429,6,188.23583333333332,6.085618240299571,187.74650000000003,181.614,195.342,6,0.05228773133333333,0.0016904496806491077,0.052151805499999995,0.050448333,0.054261667,6,32.300639999999994,0.20986690487068307,32.26244,32.10136,32.67752,6,35.11783333333333,0.12280947303309588,35.1255,34.914,35.301,6,84.6505555,3.546901200693567,83.36,80.76,90.24,6,99.16666666666667,0.4082482904638636,99.0,99.0,100.0,6,60.333333333333336,4.22689799577263,61.0,54.0,65.0,6,2994.414062,0.0,2994.414062,2994.414062,2994.414062,6,3222.0,0.0,3222.0,3222.0,3222.0,6,3578.617188,0.0,3578.617188,3578.617188,3578.617188,6,111.9151945,7.056901313989134,109.80199999999999,103.556,122.656,6,382.9166666666667,181.15541854072893,313.7,230.4,693.0,6,1948.761719,0.0,1948.761719,1948.761719,1948.761719,6,1870.6848958333333,8.49580916289266,1867.0078125,1863.265625,1884.234375,6,663.2556801666666,19.608946561593385,663.7199459999999,640.001078,693.690967
20260723_195347,stable-diffusion,int8,47,512,512,20,7.5,6,5.454474833333333,0.1852976339141074,5.451948,5.227128,5.706631,6,5.2781823333333335,0.17739772939884677,5.259535,5.066598,5.51821,6,0.1762868333333333,0.02739849939260665,0.17446899999999999,0.140504,0.206672,6,189.77716666666666,5.1365201222877115,189.18200000000002,184.775,196.866,6,0.0527158795,0.0014268111427617523,0.0525505555,0.051326389,0.054685,6,32.3338745,0.29515142869906674,32.379000000000005,31.93752,32.71712,6,35.040166666666664,0.10526047057973154,35.004999999999995,34.939,35.195,6,85.006389,2.0385093996276775,84.89583350000001,82.8,87.166667,6,99.16666666666667,0.7527726527090817,99.0,98.0,100.0,6,60.833333333333336,3.7638632635454043,61.5,55.0,65.0,6,2994.414062,0.0,2994.414062,2994.414062,2994.414062,6,3222.0,0.0,3222.0,3222.0,3222.0,6,3578.617188,0.0,3578.617188,3578.617188,3578.617188,6,115.33102766666667,8.409497950308157,110.9694165,107.9625,126.308,6,386.6166666666666,175.76215083648322,322.85,236.3,655.6,6,1948.761719,0.0,1948.761719,1948.761719,1948.761719,6,1869.6393228333334,6.796267527882235,1866.65625,1862.761719,1878.320312,6,660.6421351666667,22.386888537094965,660.5416825,630.845073,688.714729
